unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,structural_plan_status,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-26e89a11020f,F00001,GPT 中文语言风格全域重整报告：以 MD/TEX 学术成文为核心,1,1,16,16,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-26e89a11020f,b43b6f7a801e0021149b8518e7063c332da30b8e3767401342d665ae21c7de75,,U-02a357cc2e3e,99,10,PENDING,e1df187e9472a0661e84b9011f300b9cb81171ec01de254a0130e63edf5e587b,,,NOT_RUN,NOT_RUN,
U-02a357cc2e3e,F00001,GPT 中文语言风格全域重整报告：以 MD/TEX 学术成文为核心 / 0. 样本审计与阅读规则,1,17,18,2,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-02a357cc2e3e,192810c15b4d2c50ebe1c286c79318316920f289a313e6090a31c7290a4049d2,U-26e89a11020f,U-12cadaabc8e5,0,1,SKIPPED_PROTECTED,846f52af45f97b453db629df45c2738b3469e05dff29604230279f5773545889,,,NOT_RUN,NOT_RUN,
U-12cadaabc8e5,F00001,GPT 中文语言风格全域重整报告：以 MD/TEX 学术成文为核心 / 0. 样本审计与阅读规则 / 0.1 全域覆盖结果,1,19,37,19,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-12cadaabc8e5,cfcb5421d7bf9918cee5a815ef95666d1f7b74917d35f4081ebe1067bd8681a1,U-02a357cc2e3e,U-5824b83fc4ee,212,10,PENDING,69a047ee36226f22025dc540a1988bd120313ba956e037e214f301729587252c,,,NOT_RUN,NOT_RUN,
U-5824b83fc4ee,F00001,GPT 中文语言风格全域重整报告：以 MD/TEX 学术成文为核心 / 0. 样本审计与阅读规则 / 0.2 不能混淆的来源边界,1,38,57,20,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-5824b83fc4ee,af82d6432404868444bf6d76f27b67a88bb4f137b473ceb89a89ffd0c9d93d63,U-12cadaabc8e5,U-9edbe9f58802,248,3,PENDING,6822e7041224a8aa410516c7d7c2837d13799059c80f58de80a4f260c5e0f604,,,NOT_RUN,NOT_RUN,
U-9edbe9f58802,F00001,GPT 中文语言风格全域重整报告：以 MD/TEX 学术成文为核心 / 0. 样本审计与阅读规则 / 0.3 证据等级与隐私处理,1,58,71,14,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-9edbe9f58802,6bc52a8626cb2fed3bb2a13add5f1e5b809718a08dda328500818e89ef7cd591,U-5824b83fc4ee,U-f64f0d219834,215,3,PENDING,5a511e2d3323c674f38e897f6ec4245e7fce85b0c6e28afcbd5f5196b759a4c0,,,NOT_RUN,NOT_RUN,
U-f64f0d219834,F00001,GPT 中文语言风格全域重整报告：以 MD/TEX 学术成文为核心 / 板块一：模型聊天语言风格库（次要留档）,1,72,81,10,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-f64f0d219834,ec65b7459e603b25bba707fe9f08cf3b335a3e9b698e49da6a52a021065ba3c2,U-9edbe9f58802,U-5b8740741c56,104,4,PENDING,75547a2bdec5da908a280b94f96ced19f81f3db8aab5c50cd45291208c3e15c5,,,NOT_RUN,NOT_RUN,
U-5b8740741c56,F00001,GPT 中文语言风格全域重整报告：以 MD/TEX 学术成文为核心 / 板块一：模型聊天语言风格库（次要留档） / 1.1 基础特征：不是普通闲聊，而是工作过程语言,1,82,102,21,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-5b8740741c56,3ee233d149226937f831a50f40470df305d4479b7981a2ff684b1c831acb80bc,U-f64f0d219834,U-50dfd2d6605f,245,16,PENDING,b0c6b4f22f957583113d328a0a11c4a4b1d6afe01ef4ef92de8ae77e0ef763cf,,,NOT_RUN,NOT_RUN,
U-50dfd2d6605f,F00001,GPT 中文语言风格全域重整报告：以 MD/TEX 学术成文为核心 / 板块一：模型聊天语言风格库（次要留档） / 1.2 句式特征：步骤、对照与条件化行动,1,103,104,2,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-50dfd2d6605f,3bebd823e3a647a32ac09cc6fdcedae9ee16b0c5d7d456527c2f3424e0afdb24,U-5b8740741c56,U-472c0d67ad29,0,1,SKIPPED_PROTECTED,da3df9434b1220537c7b2d86ca31033da972df1c61a538c7f6767c1d25a3f47c,,,NOT_RUN,NOT_RUN,
U-472c0d67ad29,F00001,GPT 中文语言风格全域重整报告：以 MD/TEX 学术成文为核心 / 板块一：模型聊天语言风格库（次要留档） / 1.2 句式特征：步骤、对照与条件化行动 / 步骤句,1,105,112,8,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-472c0d67ad29,b3165b28d637c4d66ca30c4a97578601db906154de10e5567eadcdb62304156a,U-50dfd2d6605f,U-5ea039e1c8a7,64,3,PENDING,75e002f55dedf1ea5f2f70ea1ed7c6fdeb99d8557f6b0f84fb8b2f55aca6e144,,,NOT_RUN,NOT_RUN,
U-5ea039e1c8a7,F00001,GPT 中文语言风格全域重整报告：以 MD/TEX 学术成文为核心 / 板块一：模型聊天语言风格库（次要留档） / 1.2 句式特征：步骤、对照与条件化行动 / 对照句,1,113,120,8,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-5ea039e1c8a7,c0691d8104374949ded73b8020c52deee20c309be06447bf57418c5c3f796b80,U-472c0d67ad29,U-c88fa763aa77,68,5,PENDING,997e4c6b46eda62148a69465244213fe9f6e32cc8f0e36dec0639e5290e6ca51,,,NOT_RUN,NOT_RUN,
