answer,elim,key,kind,options,pred,question,reasons,rule,score,section
A,,2022.06.set1,miss,A: He is a staff writer | B: He is an adventurer | C: He is an author of fiction | D: He is a father of four kids,B,1,,unique_shortest,,A
A,,2022.06.set1,hit,A: Her tastes in books changed | B: She realized the power of reading | C: Her reading opened her eyes to the world | D: She began to perceive the world differently,A,4,,unique_shortest,,A
D,,2022.06.set1,hit,A: They were repeatedly rejected by shops | B: They were popular with her classmates | C: They showed her natural talent | D: They were mostly failures,D,6,,unique_shortest,,A
A,,2022.06.set1,miss,A: Mostly by chance | B: Basically objective | C: Subject to their mental alertness | D: Dependent on their analytical ability,B,14,,unique_shortest,,B
D,,2022.06.set1,miss,A: Appear submissive and grateful to doctors and nurses | B: Express a strong desire to be consulted or informed | C: Refrain from saying anything that sounds negative | D: Note down the names of all the doctors and nurses,C,17,,unique_shortest,,C
C,,2022.06.set1,miss,A: Its members work together despite risks of failure | B: It prioritizes recruiting young energetic members | C: Its members stay in touch even after it breaks up | D: It grows more and more mature professionally,B,19,,unique_shortest,,C
D,,2022.06.set1,hit,A: They count on others to take the responsibility | B: They change their investment strategy in time | C: They think they themselves are to blame | D: They persist rather than get discouraged,D,24,,unique_shortest,,C
B,,2022.06.set1,miss,A: They do not resist novel lifestyles | B: They do not try to keep up with others | C: They do not care what they have acquired | D: They do not pressure themselves to get rich.,A,25,,unique_shortest,,C
A,,2022.12.set1,hit,A: She hasn't started writing it | B: She hasn't decided on a topic | C: She is proofreading the first draft | D: She is working on the references,A,1,,unique_shortest,,A
B,,2022.12.set1,hit,A: He lent many books to the man for reference | B: He offered the man advice on resource hunting | C: He published a lot in a number of reputable journals | D: He told the man to be selective when using e-resources,B,2,,unique_shortest,,A
A,,2022.06.set1,miss,A: He is a staff writer | B: He is an adventurer | C: He is an author of fiction | D: He is a father of four kids,D,1,,unique_longest,,A
B,,2022.06.set1,miss,A: They are interested in fairy tales | B: They are curious and autonomous | C: They are a headache to their parents | D: They are ignorant of politics,C,2,,unique_longest,,A
A,,2022.06.set1,miss,A: Her tastes in books changed | B: She realized the power of reading | C: Her reading opened her eyes to the world | D: She began to perceive the world differently,C,4,,unique_longest,,A
D,,2022.06.set1,miss,A: She is a website designer | B: She is a university graduate | C: She is a main street store owner | D: She is a successful entrepreneur,C,5,,unique_longest,,A
A,,2022.06.set1,miss,A: They don't treat patients with due respect | B: They witness a lot of doctor-patient conflicts. | C: They have to deal with social workers9 strikes | D: They don't care how much patients have to pay,D,16,,unique_longest,,C
