unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-bc353709e690,F00001,(front-matter),1,1,19,19,MODELING,AUTO,MODELING,ROUTED,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,6,4,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,U-bc353709e690,d5ff82c802adfb8eab714061e584d165d479c5b637796ae33bdd6feee25647ea,,U-4bd3af2f0994,454,22,PENDING,cfbb9a1dc6a483ae3dc7f90629bdb8a2c42a3c4f9047c2fbe9b7c59de706c310,,,NOT_RUN,NOT_RUN,
U-4bd3af2f0994,F00001,问题重述,1,20,26,7,GENERAL,AUTO,MODELING,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-4bd3af2f0994,63b5b6c075529a7eb75485dd5f1be66fb6c73aca8e4033789687641e32ba6bc1,U-bc353709e690,U-a8cc1575e3f2,564,7,PENDING,d4e5be9ead13a8b68652cddbcc73000be3e2f794e5c5bcd998a2a0b3758c244d,,,NOT_RUN,NOT_RUN,
U-a8cc1575e3f2,F00001,问题分析,1,27,28,2,GENERAL,AUTO,MODELING,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-a8cc1575e3f2,9ca6b3fd81cf03ae85d2e47c0a1e83dae29c4ef07fdec4ce88c163926926c35d,U-4bd3af2f0994,U-53a75f633a51,0,1,SKIPPED_PROTECTED,2758159d73e740a6e887dbb27935f7e2966f728dd47fa0e6f01c1e09404f41c4,,,NOT_RUN,NOT_RUN,
U-53a75f633a51,F00001,问题分析 / 总体分析,1,29,30,2,GENERAL,AUTO,MODELING,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-53a75f633a51,0c80e4c88f6aedc82d1818261cc2fdccfb0cd16457b6170bb808d2c3f88962a5,U-a8cc1575e3f2,U-0799f855522d,50,6,PENDING,ac4891a34c22d6a0a009bccda26b835294a6abff527c14df1915b79b671deb9d,,,NOT_RUN,NOT_RUN,
U-0799f855522d,F00001,问题分析 / 问题一分析,1,31,39,9,MODELING,AUTO,MODELING,ROUTED,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,4,4,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,U-0799f855522d,86d01cf52d671d7b26f3a7115c12f190d9bbf7a90eae162b82e40bedd958966e,U-53a75f633a51,U-5776bc3fadbc,580,7,PENDING,46649b2e962c2411d40c13e508d71c518f6d0006079bc0d7614d29e79a8bf0ad,,,NOT_RUN,NOT_RUN,
U-5776bc3fadbc,F00001,问题分析 / 问题二分析,1,40,48,9,MODELING,AUTO,MODELING,ROUTED,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,8,8,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,U-5776bc3fadbc,b114ee2112e3d4097db05375fd45e4629d6698adb01d66df4f8ed57bd34ab92b,U-0799f855522d,U-ffff47f9561d,555,12,PENDING,8a558cc41e71404c64f5eade8d78e00e3b1c9e74073e97a3f3020904cb321136,,,NOT_RUN,NOT_RUN,
U-ffff47f9561d,F00001,问题分析 / 问题三分析,1,49,57,9,MODELING,AUTO,MODELING,ROUTED,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,4,4,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,U-ffff47f9561d,c9492d568e4e45057b4a5e188d597d51233b2cde6d640ae71812d849c0eae0f5,U-5776bc3fadbc,U-6fa010045c53,562,12,PENDING,48645fa79229e3c3204ea6e323b9594707888e677b23c30e5301390e66c8cd2c,,,NOT_RUN,NOT_RUN,
U-6fa010045c53,F00001,问题分析 / 问题四分析,1,58,68,11,MODELING,AUTO,MODELING,ROUTED,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,4,4,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,U-6fa010045c53,fc1bc60167d05c2bea194ac01574a78368ae6702e3edf827337551b1c796161c,U-ffff47f9561d,U-97a798c6ce63,561,8,PENDING,f67f727847647e3fd97636b718587eab76f632b3618ac88959ab1876038c8123,,,NOT_RUN,NOT_RUN,
U-97a798c6ce63,F00001,问题分析 / 问题五分析,1,69,77,9,MODELING,AUTO,MODELING,ROUTED,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,22,22,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,U-97a798c6ce63,52b000c211f9eb7b2eb655539b30ebf3edc7b21da9c3f0e94f9d7ba568457369,U-6fa010045c53,U-be719e2499b8,640,5,PENDING,48658d7ca1ba953637ce72e5f50e2aa01c2edd14b4acbadfe25abd2f1c50c27b,,,NOT_RUN,NOT_RUN,
U-be719e2499b8,F00001,模型假设,1,78,86,9,MODELING,AUTO,MODELING,ROUTED_DOCUMENT_PRIOR,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,2,2,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,BALANCED,U-be719e2499b8,b4a5644e39049d07290b9fffd1bee3871963b0a33d36cde9d6daeff08b74418b,U-97a798c6ce63,U-576f0874aba8,213,8,PENDING,45d278decd82ec9763a2780d00c9547509200c9a1a9c24e5cb191f84b105fce1,,,NOT_RUN,NOT_RUN,
