key,question,section,options,marker_unit,marker_snippet,explanation_answer,explanation_evidence
2022.06.set1,12,B,12. A) By theorization. C) By observation. B) By generalization. D) By conversation.,,,,
2022.09.set1,7,A,7. A) Talk to his wife about the contract terms. C) Check the references of the flat owner. B) Pay the first month's rent and a deposit. D) Consult his solicitor one more time .,Conversation Questions 5-8,"ting to work was a nightmare too, as we only have one car and my wife has to use it as she works nights at the hospital. W, Well, if you like the place, it's yours as soon as I get a contract drawn up with a solicitor. (7) ~ ~ the contract. Then we can work out when is the best day for you to pay rent each month. M, We'll be incredibly happy to be your new tenants. Thank you so much. ( 8 ) ~ e t out of the s h a b b ~ those wardrobes with all those shoes.",,
2022.09.set1,8,A,"8. A) She can have a wonderful view of the pond. C) She can make friends with new neighbours. B ) She will be much closer to her work place. D) She will have plenty of space for her shoes. Section B Directions: In this section, you will hear two passages. At the end of each passage, you will hear three or four questions . &th the passage and the questions will be spoken only once. After you hear a question, you must choose the best answer from the four choices marked A ) , B) , C) and D ) . Then mark the corresponding letter on Answer Sheet 1 with a single line through the centre. Questions 9 to 11 are based on the passage you have just heard.",Conversation Questions 5-8,"on as I get a contract drawn up with a solicitor. (7) ~ ~ the contract. Then we can work out when is the best day for you to pay rent each month. M, We'll be incredibly happy to be your new tenants. Thank you so much. ( 8 ) ~ e t out of the s h a b b ~ those wardrobes with all those shoes.",,
2022.09.set1,10,B,10. A) Inform children of the family's financial situation. B) Shift children's attention to interesting activities . C) Involve children in making purchasing decisions. D) Help children understand advertising's intent. 11 . A) Their limited cognitive ability. C) Their admiration for celebrities . B) Their strong natural curiosity. D) Their lack of social experience. Questions 12 to 15 are based on the passage you have just heard,Passage Questions 9-11,"icit purchasing behavior. So parents might want to shut off the TV. Researchers concede that this is easier said than done. So they suggest another option. Parents can change how they talk to their kids about purchases. (10) The researchers suggest that parents seek input from their ~ They shouldn't try to control all purchases. Instead, parents might tell their children things like "" I will listen to your advice on certain products or brands. "" This type of communication, the researchers assert, can lead to children making fewer purchasing demands. That means less parents'stress. However, the protective effect of this kind of communica",,
2022.09.set1,14,B,"14. A) Learn from them earnestly. C) Leave them alone temporarily. B) Compete with them actively. D) Cooperate with them sincerely. 15 . A) Being dismissed as hypocritical. C) Having to make too many sacrifices. B) Not getting the reward they deserve. D) Being misunderstood by people around. Section C Directions: In this section, you will hear three recordings of lectures or talks followed by three or four questions. The recordings will be played only once. After you hear a question, you must choose the best answer from the four choices marked A), B), C ) and D). Then mark the corresponding letter on Answer Sheet 1 with a single line through the centre. Questions 16 to 18 are based on the recording you have just heard.",,,,
2022.09.set1,18,C,18. A) They prioritize romance over friendship. B) They try to strengthen same-sex friendships . C) They begin to take friendship more seriously. D) They compete intensely for romantic partners. Questions 19 to 21 are based on the recording you have just heard. 19 . A) They regard it as a matter of sheer privacy. B) They are worried about being turned down. C) They fear that their condition will be made widely known. D) They are afraid to be discriminated against once recruited.,,,,
2022.09.set1,21,C,21. A) Describe the true state of their health. B) Provide all the information required. C) Stress the irrelevance of their disability to the job. D) Avoid mentioning the name of their disability. Questions 22 to 25 are based on the recording you have just heard.,Recording Questions 19-21,"and continue to give them a great employment experience. Companies sometimes offer candidates the chance to disclose disabilities on their application form, but people shouldn't feel restricted by this method or timing. (21) There is always the risk that the recruiter will research information that is inaccurate or irrelevant. If people don't think their disability will impact their ability to perform in the advertised position, then it's entirely their entitlement to choose when and whether to share this information.",,
2022.09.set1,24,C,24. A) Keep everything as quiet as possible. C) Use vocal material as little as possible. B) Play nothing but instrumental music. D) Wear a pair of earphones or headphones.,,,,
2022.09.set1,25,C,25. A) Sociable people were immune to all distractions. B) Shy quiet people were most adversely impacted. C) Less outgoing people were more affected by silence . . D) Confident people were unaffected by high-arousal music. Part ][,Recording Questions 22-25,"shy quiet people and confident outgoing ones to higher arousal or lower arousal background music ,_ general noise or silence while asking them to remember words. Everyone 第5页 performed best in the silent condition. (25) But less sociable people were more negatively affected by each of ~ So when children are reading and trying to incorporate new material , parents could consider allowing some background music, particularly if it is instrumental and their child is the outgoing type.",,
2022.12.set1,11,B,"11. A) Produce a surprising healing effect. C) Make people more susceptible to illness. B) Weaken one's immunity in the long run. D) Provide protection against mental illnesses. Questions 12 to 15 are based on the passage you have just heard,",Passage Questions 9-11,"ter happened. Experts assert that the same principle applies to humans. Now, let's turn to how stress benefits the body. This may come as a surprise to laymen. But experts say that stress can keep you from getting sick. (11)Scientists concede that chronic stress can make you more prone to illness. But research shows that short periods of stress can actually provide some protection against getting sick, because it increases your immune functioning. One study shows that rats that experienced brief stress had a surge of immune cell response, which makes the immune system better prepared to fight illness. For humans, there's even evidence t",,
