key,question,section,answer,top_pair,top_score,second_pair,second_score,margin,answer_in_pair,answer_mate,answer_shorter,answer_fewer_words,options
2022.06.set1,1,A,A,CD,0.113,BC,0.097,0.016,False,,,,A: He is a staff writer | B: He is an adventurer | C: He is an author of fiction | D: He is a father of four kids
2022.06.set1,2,A,B,BD,0.079,CD,0.076,0.003,True,D,False,False,A: They are interested in fairy tales | B: They are curious and autonomous | C: They are a headache to their parents | D: They are ignorant of politics
2022.06.set1,3,A,C,CD,0.083,AC,0.067,0.016,True,D,True,False,A: He offers them ample editorial guidance | B: He recommends model essays to them | C: He gives them encouragement | D: He teaches them proofreading
2022.06.set1,4,A,A,BC,0.218,CD,0.203,0.015,False,,,,A: Her tastes in books changed | B: She realized the power of reading | C: Her reading opened her eyes to the world | D: She began to perceive the world differently
2022.06.set1,5,A,D,AC,0.096,AB,0.092,0.004,False,,,,A: She is a website designer | B: She is a university graduate | C: She is a main street store owner | D: She is a successful entrepreneur
2022.06.set1,6,A,D,AD,0.091,BD,0.080,0.011,True,A,True,True,A: They were repeatedly rejected by shops | B: They were popular with her classmates | C: They showed her natural talent | D: They were mostly failures
2022.06.set1,7,A,C,BC,0.275,CD,0.234,0.041,True,B,False,False,A: She had a strong interest in doing it | B: She did not like ready-made clothes | C: She could not find clothes of her size | D: She found clothes in shops unaffordable
2022.06.set1,8,A,D,AC,0.216,BD,0.051,0.165,False,,,,A: Study fashion design at college | B: Improve her marketing strategy | C: Add designs for women | D: Expand her business
2022.06.set1,9,B,A,BD,0.261,CD,0.235,0.026,False,,,,A: Utilizing artificial intelligence to find a powerful new antibiotic | B: Discovering bacteria which are resistant to all known antibiotics | C: Identifying bacterial strains that are most harmful to human health | D: Removing a deadly strain of bacteria in humans with a new antibiotic
2022.06.set1,10,B,B,AD,0.247,BD,0.065,0.182,False,,,,A: Ever-increasing strains of bacteria | B: Bacteria's resistance to antibiotics | C: The similarity between known drugs | D: The growing threat of bacteria to health
2022.06.set1,11,B,B,CD,0.235,BD,0.039,0.196,False,,,,A: Dispense with experimental testing | B: Predict whether compounds are toxic | C: Foresee human reaction to antibiotics | D: Combat bacteria's resistance to antibiotics
2022.06.set1,12,B,C,AB,0.130,CD,0.114,0.016,False,,,,A: By theorization | B: By generalization | C: By observation | D: By conversation
2022.06.set1,13,B,D,CD,0.156,BC,0.105,0.051,True,C,True,False,A: They are easy to detect | B: They are well intended | C: They are groundless | D: They are harmless
2022.06.set1,14,B,A,CD,0.082,AB,0.047,0.035,False,,,,A: Mostly by chance | B: Basically objective | C: Subject to their mental alertness | D: Dependent on their analytical ability
2022.06.set1,15,B,B,AB,0.277,CD,0.232,0.045,True,A,False,False,A: Looking the speaker in the eye | B: Listening carefully to the speaker | C: Measuring the speaker's breathing rate | D: Focusing on the speaker's facial expressions
2022.06.set1,16,C,A,AD,0.327,AB,0.079,0.248,True,D,True,False,A: They don't treat patients with due respect | B: They witness a lot of doctor-patient conflicts | C: They have to deal with social workers9 strikes | D: They don't care how much patients have to pay
2022.06.set1,17,C,D,AD,0.317,AB,0.038,0.279,True,A,True,False,A: Appear submissive and grateful to doctors and nurses | B: Express a strong desire to be consulted or informed | C: Refrain from saying anything that sounds negative | D: Note down the names of all the doctors and nurses
2022.06.set1,18,C,C,CD,0.095,AB,0.090,0.006,True,D,True,False,A: Cooperative | B: Appreciative | C: Passive | D: Responsive
2022.06.set1,19,C,C,AC,0.162,AB,0.129,0.033,True,A,True,False,A: Its members work together despite risks of failure | B: It prioritizes recruiting young energetic members | C: Its members stay in touch even after it breaks up | D: It grows more and more mature professionally
2022.06.set1,20,C,B,AB,0.057,AC,0.050,0.007,True,A,False,False,A: Their differences are likely to impact productivity | B: Their similarity is conducive to future collaboration | C: Their connections strengthen with the passage of time | D: Their mutual understanding stems from a common goal
2022.06.set1,21,C,A,AD,0.093,BC,0.042,0.051,True,D,True,True,A: It is characterized by diversity | B: Its goals are quite inconsistent | C: Its members have similar backgrounds | D: It is connected by a unique mechanism
2022.06.set1,22,C,A,AC,0.158,BC,0.073,0.085,True,C,False,False,A: Putting aside twenty percent of one's earnings | B: Spending in anticipation of becoming wealthy | C: Living off a small proportion of one's income | D: Saving as much as one can possibly manage
2022.06.set1,23,C,D,BD,0.232,AD,0.074,0.159,True,B,True,False,A: It empowers them to cope with irrational emotions | B: It will guarantee the profits from their investments | C: It will turn them into successful financial planners | D: It enables them to focus on long-term investments
2022.06.set1,24,C,D,BC,0.061,AC,0.061,0.001,False,,,,A: They count on others to take the responsibility | B: They change their investment strategy in time | C: They think they themselves are to blame | D: They persist rather than get discouraged
2022.06.set1,25,C,B,BC,0.094,CD,0.091,0.003,True,C,True,False,A: They do not resist novel lifestyles | B: They do not try to keep up with others | C: They do not care what they have acquired | D: They do not pressure themselves to get rich
2022.09.set1,1,A,C,AC,0.231,AD,0.053,0.179,True,A,True,True,A: It enables people to earn more money | B: It teaches the importance of financing | C: It helps people with budgeting | D: It introduces a novel way to invest
2022.09.set1,2,A,D,AB,0.377,CD,0.295,0.082,False,,,,A: Many Americans are not satisfied with their income | B: Many Americans have no idea about how to invest | C: Most Americans do not know how to save money | D: Most Americans do not stick to a budget
2022.09.set1,3,A,A,AB,0.068,AC,0.050,0.018,True,B,False,False,A: Keep track of his money | B: Live within his means | C: Find more sources of income | D: Refrain from buying luxuries
2022.09.set1,4,A,B,CD,0.225,BC,0.059,0.166,False,,,,A: It offers a greater variety of items | B: It helps avoid unnecessary spending | C: It changes one's way of living | D: It saves one's time for shopping
2022.09.set1,5,A,C,BD,0.083,CD,0.063,0.019,False,,,,A: It is brand-new | B: It has plenty of rooms | C: It belongs to her mother | D: It has been vacant for months
2022.09.set1,6,A,B,AC,0.053,CD,0.033,0.020,False,,,,A: Space | B: Tranquillity | C: Appliances | D: Location
2022.09.set1,7,A,B,AC,0.047,BC,0.047,0.001,False,,,,A: Talk to his wife about the contract terms | B: Pay the first month's rent and a deposit | C: Check the references of the flat owner | D: Consult his solicitor one more time
2022.09.set1,8,A,D,BD,0.088,AD,0.071,0.017,True,B,False,True,A: She can have a wonderful view of the pond | B: She will be much closer to her work place | C: She can make friends with new neighbours | D: She will have plenty of space for her shoes
2022.09.set1,9,B,D,AB,0.408,CD,0.362,0.046,False,,,,"A: The more commercials they see, the more brands they get to know | B: The more commercials they see, the more they adore celebrities | C: The more television they watch, the fewer conflicts in the family | D: The more television they watch, the greater their parents' stress"
