key,original_file,question,section,raw_options
2022.06.set1,2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,1,A,1. A) He is a staff writer. C) He is an author of fiction. B) He is an adventurer. D) He is a father of four kids.
2022.06.set1,2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,2,A,2. A) They are interested in fairy tales. C) They are a headache to their parents. B) They are curious and autonomous. D) They are ignorant of politics.
2022.06.set1,2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,3,A,3. A) He offers them ample editorial guidance. C) He gives them encouragement. B) He recommends model essays to them. D) He teaches them proofreading.
2022.06.set1,2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,4,A,4. A) Her tastes in books changed. B) She realized the power of reading. C) Her reading opened her eyes to the world. D) She began to perceive the world differently. Questions 5 to 8 are based on the conversation you have just heard.
2022.06.set1,2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,5,A,5. A) She is a website designer. C) She is a main street store owner. B) She is a university graduate. D) She is a successful entrepreneur.
2022.06.set1,2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,6,A,6. A) They were repeatedly rejected by shops. C) They showed her natural talent. B) They were popular with her classmates. D) They were mostly failures.
2022.06.set1,2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,7,A,7. A) She had a strong interest in doing it. B) She did not like ready-made clothes. C) She could not find clothes of her size. D) She found clothes in shops unaffordable.
2022.06.set1,2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,8,A,"8. A) Study fashion design at college. C) Add designs for women. B) Improve her marketing strategy. D) Expand her business. 2022年 6 月英语六级真题第1 套 第 1 页 共 1 0 页 b y : 新一文化 Section B Directions: In this section, you will hear two passages. At the end o f each passage, you will hear three or four questions. Both the passage and the questions will be spoken only once. After you hear a question, you must choose the best answer from the four choices marked A) , B), C) and D). Then mark the corresponding letter on Answer Sheet 1 with a single line through the centre. Questions 9 to 11 are based on the passage you have just heard."
2022.06.set1,2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,9,B,9. A) Utilizing artificial intelligence to find a powerful new antibiotic. B) Discovering bacteria which are resistant to all known antibiotics. C) Identifying bacterial strains that are most harmful to human health. D) Removing a deadly strain of bacteria in humans with a new antibiotic.
2022.06.set1,2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,10,B,10. A) Ever-increasing strains of bacteria. B) Bacteria's resistance to antibiotics. C) The similarity between known drugs. D) The growing threat of bacteria to health.
2022.06.set1,2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,11,B,11. A) Dispense with experimental testing. B) Predict whether compounds are toxic. C) Foresee human reaction to antibiotics. D) Combat bacteria's resistance to antibiotics. Questions 12 to 15 are based on the passage you have just heard.
2022.06.set1,2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,12,B,12. A) By theorization. C) By observation. B) By generalization. D) By conversation.
2022.06.set1,2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,13,B,13. A) They are easy to detect. C) They are groundless. B) They are well intended. D) They are harmless.
2022.06.set1,2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,14,B,14. A) Mostly by chance. C) Subject to their mental alertness. B) Basically objective. D) Dependent on their analytical ability.
2022.06.set1,2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,15,B,"15. A) Looking the speaker in the eye. B) Listening carefully to the speaker. C) Measuring the speaker's breathing rate. D) Focusing on the speaker's facial expressions. Section C Directions: In this section, you will hear three recordings o f lectures or talks followed by three or four questions. The recordings will be played only once. After you hear a question, you must choose the best answer from the four choices marked A), B), C) and D). Then mark the corresponding letter on Answer Sheet 1 with a single line through the centre. Questions 16 to 18 are based on the recording you have just heard."
2022.06.set1,2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,16,C,16. A) They don't treat patients with due respect. B) They witness a lot of doctor-patient conflicts. 2022年 6 月英语六级真题第1 套 第 2 页 共 1 0 页 b y : 新一文化 C) They have to deal with social workers9 strikes. D) They don't care how much patients have to pay.
2022.06.set1,2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,17,C,17. A) Appear submissive and grateful to doctors and nurses. B) Express a strong desire to be consulted or informed. C) Refrain from saying anything that sounds negative. D) Note down the names of all the doctors and nurses.
