title,front_40_count,front_50_count,max_single_20_band_count,band_0_20_count,band_20_40_count,band_40_60_count,band_60_80_count,band_80_100_count
A Pioneering Woman of Science Re-Emerges after 300 Years,4,5,3,1,3,2,3,1
African countries must get smarter with their agriculture,4,6,3,2,2,3,2,1
Apple's Stance Highlights a More Confrontational Tech Industry,4,6,4,2,2,4,1,1
Are Forgotten Crops the Future of Food?,4,6,3,1,3,3,2,1
Are We in an Innovation Lull?,5,6,3,2,3,1,2,2
Blame your worthless workdays on meeting recovery syndrome,5,5,3,2,3,1,2,2
Can Societies Be Rich and Green?,4,5,3,2,2,2,3,1
"Classical music aims to evolve, build audiences without alienating old guard",4,5,3,2,2,1,3,2
Companies Are Working with Consumers to Reduce Waste,5,7,3,2,3,2,1,2
Countries Rush for Upper Hand in Antarctica,5,7,3,2,3,3,1,1
Data sharing: An open mind on open data,4,5,2,2,2,2,2,2
Do Parents Invade Children's Privacy When They Post Photos Online?,4,5,3,2,2,2,1,3
Do You Know When to Quit Wisely?,3,5,3,1,2,3,3,1
Do music lessons really make children smarter?,4,6,3,1,3,3,1,2
Elite Math Competitions Struggle to Diversify Their Talent Pool,4,6,3,2,2,3,2,1
Fear of Nature: An Emerging Threat to Conservation,5,6,3,2,3,2,1,2
France's beloved cathedral only minutes away from complete destruction,4,5,2,2,2,2,2,2
Grow Plants Without Water,4,6,3,2,2,3,2,1
How Marconi Gave Us the Wireless World,3,5,3,1,2,3,2,2
How Much Protein Do You Really Need?,6,7,3,3,3,2,0,2
How Telemedicine Is Transforming Healthcare,4,6,3,1,3,3,1,2
"In the real world, nobody cares that you went to an Ivy League school",4,5,3,3,1,2,3,1
Increased Screen Time and Wellbeing Decline in Youth,4,5,2,2,2,2,2,2
Is computer coding a foreign language?,4,5,2,2,2,2,2,2
No one in fashion is surprised that Burberry burnt 28 million of stock,4,5,2,2,2,2,2,2
Peer Pressure Has a Positive Side,3,4,3,1,2,2,3,2
Reform and Medical Costs,4,6,3,2,2,3,2,1
"Resilience Is About How You Recharge, Not How You Endure",5,6,3,3,2,1,2,2
Restaurants are now employing robots-should chefs be worried?,4,6,3,2,2,3,2,1
Rich Children and Poor Ones Are Raised Very Differently,5,6,4,1,4,1,2,2
San Francisco Has Become One Huge Metaphor for Economic Inequality in America,4,6,3,2,2,3,1,2
Saving Our Planet,4,6,3,2,2,3,1,2
Six Potential Brain Benefits of Bilingual Education,4,6,3,2,2,3,1,2
Slow Hope,4,6,3,2,2,3,2,1
The American Workplace Is Broken. Here's How We Can Start Fixing It.,5,6,3,3,2,2,1,2
The Benefits of Solitude,3,5,3,2,1,3,2,2
The Best Retailers Combine Bricks and Clicks,4,6,3,2,2,3,1,2
The Challenges for Artificial Intelligence in Agriculture,4,5,3,2,2,2,3,1
The Changing Generation,5,6,3,2,3,1,2,2
The Curious Case of the Tree That Owns Itself,4,5,2,2,2,2,2,2
The Doctor Will Skype You Now,4,6,3,2,2,3,1,2
The Free-Trade Paradox,4,5,2,2,2,2,2,2
The History and Meaning of Colored Traffic Lights,3,4,3,2,1,3,2,2
The Price of Oil and the Price of Carbon,5,7,3,2,3,2,2,1
The future of personal satellite technology is here-are we ready for it?,4,6,2,2,2,2,2,2
The lifesaving power of gratitude,4,6,3,3,1,3,1,2
The problem with being perfect,3,6,4,2,1,4,2,1
These are the habits to avoid if you want to make a behavior change,2,3,3,1,1,2,3,3
This man is running 7 marathons on 7 continents in 7 days,4,5,3,1,3,2,3,1
Treasure Fever,4,6,2,2,2,2,2,2
What Are the Ethics of CGI Actors-And Will They Replace Real Ones?,4,5,3,2,2,2,3,1
What Is a Super Blood Wolf Moon?,4,5,3,1,3,2,2,2
Who's Really Addicting You to Technology?,4,5,3,1,3,2,3,1
Why More Farmers Are Making The Switch to Grass-Fed Meat and Dairy,5,6,3,2,3,2,2,1
Why Your Library Is the Most Important Place in Town,5,6,3,3,2,2,2,1
Why facts don't change our minds,4,6,3,1,3,3,1,2
Why lifelong learning is the international passport to success,4,5,3,2,2,3,2,1
Why we need tiny colleges,4,5,2,2,2,2,2,2
"Yes, eating meat affects the environment, but cows are not killing the climate",4,5,3,2,2,2,3,1
