unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,structural_plan_status,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-bc353709e690,F00001,(front-matter),1,1,19,19,MODELING,MODELING,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,STRUCTURAL,NOT_RUN,U-bc353709e690,2b4c05a870568bc74dba59192b12faadbe0c3e68d3fe1c6e2cff99997eb6517f,,U-4bd3af2f0994,454,22,PENDING,cfbb9a1dc6a483ae3dc7f90629bdb8a2c42a3c4f9047c2fbe9b7c59de706c310,,,NOT_RUN,NOT_RUN,
U-4bd3af2f0994,F00001,问题重述,1,20,26,7,MODELING,MODELING,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,STRUCTURAL,NOT_RUN,U-4bd3af2f0994,df256e7bedd1cdb1b5f87c400759ed4c18ebd5c17e450123f50cec4e80e36b11,U-bc353709e690,U-a8cc1575e3f2,564,7,PENDING,d4e5be9ead13a8b68652cddbcc73000be3e2f794e5c5bcd998a2a0b3758c244d,,,NOT_RUN,NOT_RUN,
U-a8cc1575e3f2,F00001,问题分析,1,27,28,2,MODELING,MODELING,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,STRUCTURAL,NOT_RUN,U-a8cc1575e3f2,36b282050df3b5759a58ad286e374f4e03fff9aa8413822a7797d86b76af1eda,U-4bd3af2f0994,U-53a75f633a51,0,1,SKIPPED_PROTECTED,2758159d73e740a6e887dbb27935f7e2966f728dd47fa0e6f01c1e09404f41c4,,,NOT_RUN,NOT_RUN,
U-53a75f633a51,F00001,问题分析 / 总体分析,1,29,30,2,MODELING,MODELING,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,STRUCTURAL,NOT_RUN,U-53a75f633a51,a4b21faaa41680179bfc7d0993271459e84b70b73f12570b98ea3620079a9b60,U-a8cc1575e3f2,U-0799f855522d,50,6,PENDING,ac4891a34c22d6a0a009bccda26b835294a6abff527c14df1915b79b671deb9d,,,NOT_RUN,NOT_RUN,
U-0799f855522d,F00001,问题分析 / 问题一分析,1,31,39,9,MODELING,MODELING,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,STRUCTURAL,NOT_RUN,U-0799f855522d,2a4d80dc5abf6e792f5c116d5e30e0443739471064a397a6a6e393397e41e6b3,U-53a75f633a51,U-5776bc3fadbc,580,7,PENDING,46649b2e962c2411d40c13e508d71c518f6d0006079bc0d7614d29e79a8bf0ad,,,NOT_RUN,NOT_RUN,
U-5776bc3fadbc,F00001,问题分析 / 问题二分析,1,40,48,9,MODELING,MODELING,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,STRUCTURAL,NOT_RUN,U-5776bc3fadbc,613c4aa1168ceea293d3432dddaf743d1b6ef3d4d8fc201e8fbafd7e426ed8e9,U-0799f855522d,U-ffff47f9561d,555,12,PENDING,8a558cc41e71404c64f5eade8d78e00e3b1c9e74073e97a3f3020904cb321136,,,NOT_RUN,NOT_RUN,
U-ffff47f9561d,F00001,问题分析 / 问题三分析,1,49,57,9,MODELING,MODELING,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,STRUCTURAL,NOT_RUN,U-ffff47f9561d,6e959113cb61472cecc3e9fbf243d54448cd7cc66bd6039ee80fe9fd92591b14,U-5776bc3fadbc,U-6fa010045c53,562,12,PENDING,48645fa79229e3c3204ea6e323b9594707888e677b23c30e5301390e66c8cd2c,,,NOT_RUN,NOT_RUN,
U-6fa010045c53,F00001,问题分析 / 问题四分析,1,58,68,11,MODELING,MODELING,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,STRUCTURAL,NOT_RUN,U-6fa010045c53,33296570b7ae0ec9a56c0ecded53f0c1dae846fb981e26704f29e3e977a9a096,U-ffff47f9561d,U-97a798c6ce63,561,8,PENDING,f67f727847647e3fd97636b718587eab76f632b3618ac88959ab1876038c8123,,,NOT_RUN,NOT_RUN,
U-97a798c6ce63,F00001,问题分析 / 问题五分析,1,69,77,9,MODELING,MODELING,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,STRUCTURAL,NOT_RUN,U-97a798c6ce63,14e06964eb1825a31a10f549c393276fef7efba2194afe0688928f152c30fb06,U-6fa010045c53,U-be719e2499b8,640,5,PENDING,48658d7ca1ba953637ce72e5f50e2aa01c2edd14b4acbadfe25abd2f1c50c27b,,,NOT_RUN,NOT_RUN,
U-be719e2499b8,F00001,模型假设,1,78,86,9,MODELING,MODELING,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,STRUCTURAL,NOT_RUN,U-be719e2499b8,0860eced3a2fb0afcf2a2698f3544a57a4e98de3561775e9a5ed553eb90563b6,U-97a798c6ce63,U-576f0874aba8,213,8,PENDING,45d278decd82ec9763a2780d00c9547509200c9a1a9c24e5cb191f84b105fce1,,,NOT_RUN,NOT_RUN,
U-576f0874aba8,F00001,符号说明,1,87,116,30,MODELING,MODELING,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-modeling,1,DEFAULT,DEFAULT,SCENE_DEFAULT,MODELING,9e19a368d6cc11f3f05259e3fa2662c867ba99d15bcd320a4853d72a41190a01,True,REWRITE,STRUCTURAL,NOT_RUN,U-576f0874aba8,9f9ec122616feb01a2dec81d54950b4e0ff660e195a7394bfcf7505025509b24,U-be719e2499b8,U-9f65fd693826,232,54,PENDING,31efebac4cde5bfe9e9bc63b8b61fe564af30af0f26ed8a0ecf3ce8eb54f1adb,,,NOT_RUN,NOT_RUN,
