key,question,old_answer,audited_answer,evidence_summary
2022.06.set1,9,C,A,AI first used to find a powerful new antibiotic molecule
2022.12.set1,9,C,B,stress doubled the growth of new brain cells in rats
2022.12.set1,13,C,D,minor issues can transform into major problem or crisis
2022.12.set1,21,C,B,customers leave comments on social media praising products
2022.12.set1,23,A,C,NYC fountain coins go toward fountain maintenance
2022.12.set1,25,A,D,Thomas Morgan used a magnetic stick to steal change
2023.03.set1,6,B,C,managers use manipulative language to mask irrational choices
2023.03.set1,13,A,B,the wedding was cancelled/called off
2023.06.set1,3,A,C,the man had a similar feeling after moving out
2023.06.set1,14,D,B,federal government commissioned private wagons
2023.06.set1,21,A,B,marketers should follow latest technological developments
2023.06.set1,23,C,A,initial study analyzed friends impact on self-esteem and well-being
2023.06.set2,10,D,C,risk-free activities deprive kids of testing themselves/overcoming fears
2023.06.set2,19,A,C,Nebraska City was a treeless plain
2024.12.set1,8,D,C,grades were a mixed bag/not consistent
2024.12.set1,9,B,D,street-sign photos prove the user is human to the computer
2024.12.set1,21,D,B,the brain makes predictions using color
2024.12.set2,14,B,C,aspirational goals should include helping other people
2024.12.set2,23,C,D,scents travel directly to emotional and memory centers
2022.06.set1,7,,C,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.06.set1,8,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.06.set1,10,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.06.set1,11,,B,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.06.set1,12,,C,"explanation says most people detect lying by observing people they know and then generalizing; option C, observation, matches the direct answer."
2022.06.set1,13,,D,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.06.set1,22,,A,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.
2022.09.set1,1,,C,full_closure_audit: raw parse text answer heading; see listening_full_closure_audit.csv for transcript/explanation snippets.
