key,parse_file,question,section,unit,snippet
2022.06.set1,2022.06英语六级考试解析第1套.pdf,1,A,Conversation Questions 1-4,"Questions 1 to 4 are based on the conversation you have just heard. W: (1) Mr. David Jackson, a staff writer at the New Yorker, is known for his non-fiction books of adventure. Today, we go on a different kind of adventure: Jackson's life of parenting his offspring. David, as a parent of an 11- and a 14-year-old, what is the most interesting issue you are dealing with right now? M: It's easy to focus on the challenges, but so far, I find these ages to be kind of wonderful. (2) They are ind"
2022.06.set1,2022.06英语六级考试解析第1套.pdf,2,A,Conversation Questions 1-4,"fspring. David, as a parent of an 11- and a 14-year-old, what is the most interesting issue you are dealing with right now? M: It's easy to focus on the challenges, but so far, I find these ages to be kind of wonderful. (2) They are independent, and they have their own curiosities and obsessions. You can talk to them about fairly sophisticated subject matter such as politics. W: Yes, that does sound refreshing compared with talking to younger children. Do they ask you to proofread their essays? M: Certainly, with writing they do. (3) I really just try to be encouraging. I think at this age, editorial guidance is less important than enc"
2022.06.set1,2022.06英语六级考试解析第1套.pdf,3,A,Conversation Questions 1-4,"em about fairly sophisticated subject matter such as politics. W: Yes, that does sound refreshing compared with talking to younger children. Do they ask you to proofread their essays? M: Certainly, with writing they do. (3) I really just try to be encouraging. I think at this age, editorial guidance is less important than encouragement. W: Are there books that you think are important that your children read, and that all children read? M: My general thought is to read widely and to incorporate a love for reading. Learning to love to read, I think, is the optimal thing, because it gives you a skill you can take anywhere. W: So you're no"
2022.06.set1,2022.06英语六级考试解析第1套.pdf,4,A,Conversation Questions 1-4,"t they're reading? I know I have some worries about that. M: Yeah, read what you like. If a child loves graphic novels or comic books, whatever it is, that is turning them on to read and turning on their imagination. W: (4)I feel that children's tastes in books change as they reach adolescence. I know that mine certainly did when I was a teenager. What do you think? M: I think it's especially important as they get older to read subject matter that'll open their eyes to the world and people. So I think both fiction and non-fiction are really important because they give you the power to begin to perceive the world through the lives of ot"
2022.06.set1,2022.06英语六级考试解析第1套.pdf,5,A,Conversation Questions 5-8,"Questions 5 to 8 are based on the conversation you have just heard. M: (5)In this episode of Money Talks, our guest is Molly Sanders, a university student and a successful young entrepreneur. Molly, tell us about your business. W: Well, I sell specialty clothes through a website, mainly for women who have trouble finding suitable clothes in main street shops because of their height or weight. But I do some men's clothes too. M: How did you get started in this business at such a young age?"
2022.06.set1,2022.06英语六级考试解析第1套.pdf,6,A,Conversation Questions 5-8,"Actually, I'm majoring in finance, but I've always loved clothes. And I started making my own at 14. M: Did you have any sort of training in design or sewing? Or was it a natural ability? W: I'd have to say no to both. (6)No one taught me to make clothes and most of the things I made at first were disasters. 六级2022年6月24 M: Why did you persevere? I think most people would give up if they kept failing, especially. at that age. W: I kept on out of necessity. .(7) As you can see, I'm very tall and I couldn't find clothes that fit me in ordinary shops. So I kept trying and developed my skills over time. M: Well, my notes say you earned $"
2022.06.set1,2022.06英语六级考试解析第1套.pdf,7,A,Conversation Questions 5-8,"ake clothes and most of the things I made at first were disasters. 六级2022年6月24 M: Why did you persevere? I think most people would give up if they kept failing, especially. at that age. W: I kept on out of necessity. .(7) As you can see, I'm very tall and I couldn't find clothes that fit me in ordinary shops. So I kept trying and developed my skills over time. M: Well, my notes say you earned $ 50,000 in profits last year, an extraordinary amount for a 20-year-old W: No. When I started university, some classmates complimented my clothes. And when I said I made them myself, other tall women started asking if I would make theirs. And I"
2022.06.set1,2022.06英语六级考试解析第1套.pdf,8,A,Conversation Questions 5-8,"asking if I would make theirs. And I did. And before I knew it, I was an entrepreneur. M: So what are your plans for the future? Do you intend to open a physical store? W: No. I'll keep things online to keep costs down. (8) But I will add more clothes for children, both girls and boys, and possibly even for infants. And I hope to add to my range of designs for men."
2022.06.set1,2022.06英语六级考试解析第1套.pdf,13,B,Passage Questions 12-15,"mply stare at you. Or perhaps it is more generally nervous behavior we associate with lies. (12-2) Whatever the particular theory, it's usually based on close observation of people we know.. And we get lots of practice. (13)On average, we're lied to some 200 times per day. These are mostly harmless lies, but lies nonetheless. But there's a problem with our theories, even though they're based on all these observations. (14) The average person-you and me tested rigorously on how well we detect lies fails to do better than chance. That's well established over many studies and lots of attempts by researchers to work out reliable ways to det"
2022.06.set1,2022.06英语六级考试解析第1套.pdf,14,B,Passage Questions 12-15,"lots of practice. (13)On average, we're lied to some 200 times per day. These are mostly harmless lies, but lies nonetheless. But there's a problem with our theories, even though they're based on all these observations. (14) The average person-you and me tested rigorously on how well we detect lies fails to do better than chance. That's well established over many studies and lots of attempts by researchers to work out reliable ways to detect lies. It's even relatively easy to fool lie detectors, the gold standard of lie detection, by training yourself in breathing techniques and symptom suppression. Is there any way to get better at det"
2022.06.set1,2022.06英语六级考试解析第1套.pdf,15,B,Passage Questions 12-15,"lie detectors, the gold standard of lie detection, by training yourself in breathing techniques and symptom suppression. Is there any way to get better at detecting lies? The new research offers some surprising advice. (15) Stop looking and listen instead. It turns out that if we're unable to see the face, but rather focus on the voice of the person in question, our accuracy rate improves considerably."
2022.06.set1,2022.06英语六级考试解析第1套.pdf,16,C,Recording Questions 16-18,"omes into your room, even if the visit is brief and useless. Don't challenge anyone with authority unless you are famous or very rich. Those are 'a few strategies for dealing with today's American medical establishment. (16) What patients want is to be treated with respect and consideration. But in my experience, too few hospitals and doctors are ready to do that. In his book, A Whole New Life, novelist Reynolds Price recalls that his doctors chose a crowded hallway as the place to'tell him he might have a tumor on his spinal cord. It did not occur to the two 六级2022年6月26 physicians that a hallway was not the most appropriate place for"
2022.06.set1,2022.06英语六级考试解析第1套.pdf,17,C,Recording Questions 16-18,"she mercifully intervenes on my behalf and arranges for me to be transferred to another hospital. ""If you say one negative thing, they get defensive,"" she tells me later. “""They have this kind of institutional loyalty. (17)Always bring an advocate, that is, any other person with you to the hospital, and write down every single question and the answer, the name of every doctor and nurse. When people know you have their names, they behave better. And,"" Brudney adds, “if you, as a patient, suggest that you might like to control even part of the situation or be consulted or informed, then you are considered difficult. (18)They want you to"
2022.06.set1,2022.06英语六级考试解析第1套.pdf,18,C,Recording Questions 16-18,"know you have their names, they behave better. And,"" Brudney adds, “if you, as a patient, suggest that you might like to control even part of the situation or be consulted or informed, then you are considered difficult. (18)They want you to be totally passive. The entire health care 'system, particularly hospitals and nursing homes, exists for reasons that have nothing to do with taking care of patients. Patients are incidental. """
2022.06.set1,2022.06英语六级考试解析第1套.pdf,22,C,Recording Questions 22-25,"s and social indifference. Being thrifty comes as no great surprise. Spending above your means, spending instead of saving for retirement, spending in anticipation of becoming wealthy, makes you a slave to the paycheck. (22)""Even with an astronomical level of income,"" she wrote, “""to properly build wealth, experts recommend saving 20% of your income and living off the remaining 80%. "" Having confidence is another key characteristic, as it helps people to be thrifty. (23)It takes confidence to live within your means. It also takes confidence to invest properly. Instead of making investing decisions with your emotions, financial planners"
2022.06.set1,2022.06英语六级考试解析第1套.pdf,23,C,Recording Questions 22-25,"level of income,"" she wrote, “""to properly build wealth, experts recommend saving 20% of your income and living off the remaining 80%. "" Having confidence is another key characteristic, as it helps people to be thrifty. (23)It takes confidence to live within your means. It also takes confidence to invest properly. Instead of making investing decisions with your emotions, financial planners advise that you should leave your investments alone and focus on a long-term investment plan. But people can't invest or manage their own money without accepting responsibility for the didn't acquire their wealth through luck. (24) Millionaires don't"
2022.06.set1,2022.06英语六级考试解析第1套.pdf,24,C,Recording Questions 22-25,"that you should leave your investments alone and focus on a long-term investment plan. But people can't invest or manage their own money without accepting responsibility for the didn't acquire their wealth through luck. (24) Millionaires don't count on anyone else to make them rich, and they don't blame anyone else if they fall short. They focus on things they can control and align their daily habits to the goals they have set for themselves. They tend to be goal-oriented and hard workers, which enables them to plan financially and focus on seeing those plans through. 92% of the millionaires surveyed developed a long- term plan for thei"
2022.06.set1,2022.06英语六级考试解析第1套.pdf,25,C,Recording Questions 22-25,"almost always achieved the goals they set for themselves. And it is these behaviors that make it easy for them to be socially indifferent. They resist lifestyle creep, the tendency to spend more whenever one earns more. (25)Essentially, they don't yield to pressure to buy the latest thing or to keep up with others or what they have acquired. Instead of being focused on what might make them happy today, they're focused on their long-term wealth-building plan."
2022.09.set1,2022.09英语六级解析第1套.pdf,1,A,Conversation Questions 1-4,"Questions 1 to 4 are based on the conversation you have just heard. M: (1) Welcome to Money Matters, a weekly program that helps you manage vour monev. Tonight, I'll be talking to Mary Johnson about budgeting. W: Hello , everyone. M: There's a magic about money. When it's not planned for, tracked and kept a record of, it literally disappears. What are some of the steps we can take to prevent this from happening? W: (3- 1 ) ~ If you don't do that, you'll never be able to set any goals fo"
2022.09.set1,2022.09英语六级解析第1套.pdf,2,A,Conversation Questions 1-4,"f the steps we can take to prevent this from happening? W: (3- 1 ) ~ If you don't do that, you'll never be able to set any goals for your budget or have the discipline to stick to them. M, That's easier said than done. (2) I read recently that onlv 41 % of Americans adhere to a budget. W : (3-2)Yes, but knowing what you earn and what you spend can give you reassurance that vou won't get into ~ You can do this by adding up all of your sources of income you have and writing them all down on a piece of paper. On the same page, write down all of your monthly expenses. M: I'm always amazed at how much my expenses add up. But designating"
2022.09.set1,2022.09英语六级解析第1套.pdf,4,A,Conversation Questions 1-4,"ber. I just can't resist the allure of all those prestigious goods. W: Well, it's not a catastrophe. But you do have to make some changes, try cutting back on those non-essential items, sell some stuff in your attic or ( 4 ) ~tations like chocolate. Failing that you can always find yourself a part-time job."
2022.09.set1,2022.09英语六级解析第1套.pdf,5,A,Conversation Questions 5-8,"hone on Wednesday. W, Hi, Mark, come on up. I'll buzz you in. Green door on the second floor on the right side. Nice to meet you. I spoke to all your references and they all checked out okay. So let me show you around. ( 5 ) ~ ~ But her health isn't great. So we finally managed to persuade her to move in with us and rent this old place out. M: It's a great size. Plenty of space. Very versatile. I think it's a winner for us. W, Yes, all the appliances are brand-new. There's a washing machine and a tumble dryer in the utility room next to the kitchen. M, Lots of closet space too, which is fabulous. My wife has a ridiculous number of sh"
2022.09.set1,2022.09英语六级解析第1套.pdf,7,A,Conversation Questions 5-8,"ting to work was a nightmare too, as we only have one car and my wife has to use it as she works nights at the hospital. W, Well, if you like the place, it's yours as soon as I get a contract drawn up with a solicitor. (7) ~ ~ the contract. Then we can work out when is the best day for you to pay rent each month. M, We'll be incredibly happy to be your new tenants. Thank you so much. ( 8 ) ~ e t out of the s h a b b ~ those wardrobes with all those shoes."
2022.09.set1,2022.09英语六级解析第1套.pdf,8,A,Conversation Questions 5-8,"on as I get a contract drawn up with a solicitor. (7) ~ ~ the contract. Then we can work out when is the best day for you to pay rent each month. M, We'll be incredibly happy to be your new tenants. Thank you so much. ( 8 ) ~ e t out of the s h a b b ~ those wardrobes with all those shoes."
2022.09.set1,2022.09英语六级解析第1套.pdf,9,B,Passage Questions 9-11,"Questions 9 to 11 are based on the passage you have just heard. (9) A new s t u d ~ o s i t i v e correlation between how much television children watch and their 第2页 ~ Why? Because the more television kids watch, the more they're exposed to advertising. The more advertising they see, the more likely they are to insist on purchasing items when they go with their parents to the store. This could generate conflict if the parents refuse. All that, researchers say, can contribute to"
2022.09.set1,2022.09英语六级解析第1套.pdf,10,B,Passage Questions 9-11,"icit purchasing behavior. So parents might want to shut off the TV. Researchers concede that this is easier said than done. So they suggest another option. Parents can change how they talk to their kids about purchases. (10) The researchers suggest that parents seek input from their ~ They shouldn't try to control all purchases. Instead, parents might tell their children things like "" I will listen to your advice on certain products or brands. "" This type of communication, the researchers assert, can lead to children making fewer purchasing demands. That means less parents'stress. However, the protective effect of this kind of communica"
2022.09.set1,2022.09英语六级解析第1套.pdf,11,B,Passage Questions 9-11,"osure to television. This is because advertising aimed at children is especially persuasive. Advertisers use an assortment of tactics, such as bright colors, happy music and celebrity endorsements to appeal to children. (11) Plus, children don't have the cognitive ability to fully understand advertising's intent. That makes them ~ vulnerable to advertisements."
2022.09.set1,2022.09英语六级解析第1套.pdf,12,B,Passage Questions 12-15,"r for good guys , and we should only punish the bad guys. But that's not what we always do. Most of the time, we do indeed reward good people. We also often punish people who harm others or who aren't good team players. (12) But sometimes the good guys also get punished or criticized, specifically because they are so good. This seems baffling, because it's detrimental to group cooperation. However, the phenomenon has been discovered in multiple fields, and it has been found in every society. Why does this happen? Research suggests a simple reason. When one person looks really good, others look bad by comparison. Those others then have a"
2022.09.set1,2022.09英语六级解析第1套.pdf,13,B,Passage Questions 12-15,"ts a simple reason. When one person looks really good, others look bad by comparison. Those others then have an incentive in stopping that person from looking good, especially if they can't or won't compete. After all , (13)~ . When faced with someone better, what can a normal person do? 0 4 ) ~ A second option is to bring that person down. That is to suppress their cooperation or work ethic, infer selfish motives for their actions, or .So imply real or imagined hypocrisy. Other tactics include attacking them on unrelated dimensions or punishing them outright. Why does this matter? Critics often attack the motives of people who protect"
2022.09.set1,2022.09英语六级解析第1套.pdf,15,B,Passage Questions 12-15,"risy. Other tactics include attacking them on unrelated dimensions or punishing them outright. Why does this matter? Critics often attack the motives of people who protect the enviromnent, donate money or work too hard. (15)Such good deeds are dismissed as naive or hypocritical bv those who do not it's important to recognize these attacks for what they are."
2022.09.set1,2022.09英语六级解析第1套.pdf,19,C,Recording Questions 19-21,". Yet disabled people often find it hard to 第4页 decide when, how and if at all to raise their disability problem with the potential employer. There is uncertainty about how a recruiter will perceive their disability. ( 19 ) 心 such , many candidates fear they wouldn't be considered for a position as a result of disclosing this p ~ And research has validated this as a genuine concern for many job applicants. It's a natural reaction, but it shouldn't be a reason to stay quiet. People need to remember that they are applying for a position they have the skills and experience to excel in. Discussing a disability with the potential employer m"
2022.09.set1,2022.09英语六级解析第1套.pdf,21,C,Recording Questions 19-21,"and continue to give them a great employment experience. Companies sometimes offer candidates the chance to disclose disabilities on their application form, but people shouldn't feel restricted by this method or timing. (21) There is always the risk that the recruiter will research information that is inaccurate or irrelevant. If people don't think their disability will impact their ability to perform in the advertised position, then it's entirely their entitlement to choose when and whether to share this information."
2022.09.set1,2022.09英语六级解析第1套.pdf,23,C,Recording Questions 22-25,"nd noise and silence on short-term memory. Background speech had the biggest negative effect. Vocal music was slightly more disruptive than instrumental. In general, background noise and silence were least disruptive. (23) rocessing reauired on the task and the processing required to screen o u t ~ The studies suggest that when people read and when they try to remember any verbal material , background speech will inhibit their ability. Instrumental music will have at worst a slight effect. ( 2 4 ) ~ s , however, other research has found it is best to reduce all b ~ Not everyone reacts in the same way to distractions. Other studie"
2022.09.set1,2022.09英语六级解析第1套.pdf,25,C,Recording Questions 22-25,"shy quiet people and confident outgoing ones to higher arousal or lower arousal background music ,_ general noise or silence while asking them to remember words. Everyone 第5页 performed best in the silent condition. (25) But less sociable people were more negatively affected by each of ~ So when children are reading and trying to incorporate new material , parents could consider allowing some background music, particularly if it is instrumental and their child is the outgoing type."
2022.12.set1,2022.12六级真题第1套答案及详解.pdf,1,A,Conversation Questions 1-4,"Questions 1 to 4 are based on the conversation you have just heard. M: How's your dissertation going? I'm proofreading my first draft and will submit it to my professor tomorow. W: Oh, (1)I haven't even started writing mine yet, so I'm really worried about finishing by the end of next semester. M: You mean you haven't even begun yours yet? The final draft is due in five months. W: Of course I've started it, but I can't get to the writing yet as I haven't found enough resources to use, so I'm still researching the topic. M: Maybe the problem is the way you're doing your research. (2)I started by talkin"
