question,n,best,hit,accuracy,dist
1,17,A,7,0.412,"{'A': 7, 'C': 2, 'B': 4, 'D': 4}"
2,17,B,6,0.353,"{'B': 6, 'D': 4, 'A': 5, 'C': 2}"
3,17,C,5,0.294,"{'C': 5, 'A': 5, 'D': 4, 'B': 3}"
4,17,A,6,0.353,"{'A': 6, 'B': 3, 'D': 4, 'C': 4}"
5,17,D,5,0.294,"{'D': 5, 'C': 4, 'A': 5, 'B': 3}"
6,17,C,7,0.412,"{'D': 3, 'B': 4, 'C': 7, 'A': 3}"
7,17,D,7,0.412,"{'C': 2, 'B': 4, 'D': 7, 'A': 4}"
8,17,D,6,0.353,"{'D': 6, 'B': 6, 'C': 4, 'A': 1}"
9,17,D,6,0.353,"{'A': 6, 'D': 6, 'B': 4, 'C': 1}"
10,17,B,7,0.412,"{'B': 7, 'C': 5, 'A': 3, 'D': 2}"
11,17,B,6,0.353,"{'B': 6, 'A': 4, 'C': 4, 'D': 3}"
12,17,C,6,0.353,"{'C': 6, 'D': 4, 'A': 4, 'B': 3}"
13,17,C,7,0.412,"{'D': 3, 'C': 7, 'B': 4, 'A': 3}"
14,17,B,6,0.353,"{'A': 4, 'B': 6, 'D': 3, 'C': 4}"
15,17,A,6,0.353,"{'B': 3, 'A': 6, 'D': 5, 'C': 3}"
16,17,D,7,0.412,"{'A': 5, 'D': 7, 'C': 4, 'B': 1}"
17,17,A,7,0.412,"{'D': 2, 'A': 7, 'C': 5, 'B': 3}"
18,17,B,6,0.353,"{'C': 3, 'A': 3, 'B': 6, 'D': 5}"
19,17,A,7,0.412,"{'C': 5, 'B': 4, 'A': 7, 'D': 1}"
20,17,D,6,0.353,"{'B': 3, 'C': 4, 'A': 4, 'D': 6}"
21,17,B,7,0.412,"{'A': 2, 'D': 4, 'B': 7, 'C': 4}"
22,17,D,5,0.294,"{'A': 4, 'B': 4, 'D': 5, 'C': 4}"
23,17,A,8,0.471,"{'D': 3, 'C': 3, 'A': 8, 'B': 3}"
24,17,D,8,0.471,"{'D': 8, 'A': 4, 'C': 4, 'B': 1}"
25,17,C,5,0.294,"{'B': 5, 'D': 4, 'C': 5, 'A': 3}"
