unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-bc353709e690,F00001,(front-matter),1,1,19,19,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,27bc2f98075de1183522db6025dd20899d4fd0a2ab2383887b987a691c08fe78,True,REWRITE,BALANCED,U-bc353709e690,05a8f69ced246be04a7115ee5b98839f041dcf639ee43140f9844aa9ac0840ad,,U-4bd3af2f0994,454,22,PENDING,cfbb9a1dc6a483ae3dc7f90629bdb8a2c42a3c4f9047c2fbe9b7c59de706c310,,,NOT_RUN,NOT_RUN,
U-4bd3af2f0994,F00001,问题重述,1,20,26,7,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,27bc2f98075de1183522db6025dd20899d4fd0a2ab2383887b987a691c08fe78,True,REWRITE,BALANCED,U-4bd3af2f0994,fd4000697cdd17f3122b1f5f3a7be5d3260135ecd4864cee123aed9f6001fa47,U-bc353709e690,U-a8cc1575e3f2,564,7,PENDING,d4e5be9ead13a8b68652cddbcc73000be3e2f794e5c5bcd998a2a0b3758c244d,,,NOT_RUN,NOT_RUN,
U-a8cc1575e3f2,F00001,问题分析,1,27,28,2,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,27bc2f98075de1183522db6025dd20899d4fd0a2ab2383887b987a691c08fe78,True,REWRITE,BALANCED,U-a8cc1575e3f2,b4f4d7eeb5a3392f766ad94ac326f3ca134994c7425eb74dfe1b201f9b3e7dff,U-4bd3af2f0994,U-53a75f633a51,0,1,SKIPPED_PROTECTED,2758159d73e740a6e887dbb27935f7e2966f728dd47fa0e6f01c1e09404f41c4,,,NOT_RUN,NOT_RUN,
U-53a75f633a51,F00001,问题分析 / 总体分析,1,29,30,2,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,27bc2f98075de1183522db6025dd20899d4fd0a2ab2383887b987a691c08fe78,True,REWRITE,BALANCED,U-53a75f633a51,86c557f1a37c04795582e958c26be939976500c9939affb0bfa2d6a1f1e19f2d,U-a8cc1575e3f2,U-0799f855522d,50,6,PENDING,ac4891a34c22d6a0a009bccda26b835294a6abff527c14df1915b79b671deb9d,,,NOT_RUN,NOT_RUN,
U-0799f855522d,F00001,问题分析 / 问题一分析,1,31,39,9,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,27bc2f98075de1183522db6025dd20899d4fd0a2ab2383887b987a691c08fe78,True,REWRITE,BALANCED,U-0799f855522d,568215175be3c27b1237d2917fbf6206d3feb027cb78db6fabe394dd5e1eef16,U-53a75f633a51,U-5776bc3fadbc,580,7,PENDING,46649b2e962c2411d40c13e508d71c518f6d0006079bc0d7614d29e79a8bf0ad,,,NOT_RUN,NOT_RUN,
U-5776bc3fadbc,F00001,问题分析 / 问题二分析,1,40,48,9,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,27bc2f98075de1183522db6025dd20899d4fd0a2ab2383887b987a691c08fe78,True,REWRITE,BALANCED,U-5776bc3fadbc,ddbe56c85f9cadac3ec03acca82ecfa74991a56932b90f3c015b89645ae3f775,U-0799f855522d,U-ffff47f9561d,555,12,PENDING,8a558cc41e71404c64f5eade8d78e00e3b1c9e74073e97a3f3020904cb321136,,,NOT_RUN,NOT_RUN,
U-ffff47f9561d,F00001,问题分析 / 问题三分析,1,49,57,9,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,27bc2f98075de1183522db6025dd20899d4fd0a2ab2383887b987a691c08fe78,True,REWRITE,BALANCED,U-ffff47f9561d,5419515ef74bbc790914da809830361847b2642d8102471435b2426342e97c62,U-5776bc3fadbc,U-6fa010045c53,562,12,PENDING,48645fa79229e3c3204ea6e323b9594707888e677b23c30e5301390e66c8cd2c,,,NOT_RUN,NOT_RUN,
U-6fa010045c53,F00001,问题分析 / 问题四分析,1,58,68,11,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,27bc2f98075de1183522db6025dd20899d4fd0a2ab2383887b987a691c08fe78,True,REWRITE,BALANCED,U-6fa010045c53,3bb29b790ab44667b64b60ec4e9054137b400a01344a0685e08a774673f4f467,U-ffff47f9561d,U-97a798c6ce63,561,8,PENDING,f67f727847647e3fd97636b718587eab76f632b3618ac88959ab1876038c8123,,,NOT_RUN,NOT_RUN,
U-97a798c6ce63,F00001,问题分析 / 问题五分析,1,69,77,9,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,27bc2f98075de1183522db6025dd20899d4fd0a2ab2383887b987a691c08fe78,True,REWRITE,BALANCED,U-97a798c6ce63,23deff50575e7fcadf1f1cfefcb8ad990092cad832de65bbfc90733d3adcf4ac,U-6fa010045c53,U-be719e2499b8,640,5,PENDING,48658d7ca1ba953637ce72e5f50e2aa01c2edd14b4acbadfe25abd2f1c50c27b,,,NOT_RUN,NOT_RUN,
U-be719e2499b8,F00001,模型假设,1,78,86,9,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,27bc2f98075de1183522db6025dd20899d4fd0a2ab2383887b987a691c08fe78,True,REWRITE,BALANCED,U-be719e2499b8,056fa1799156b1a5c2e366eba1df9b37c15697fb4d50f831167f1570948e3d7b,U-97a798c6ce63,U-576f0874aba8,213,8,PENDING,45d278decd82ec9763a2780d00c9547509200c9a1a9c24e5cb191f84b105fce1,,,NOT_RUN,NOT_RUN,
U-576f0874aba8,F00001,符号说明,1,87,116,30,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,27bc2f98075de1183522db6025dd20899d4fd0a2ab2383887b987a691c08fe78,True,REWRITE,BALANCED,U-576f0874aba8,57dbff051100a0a4670da090e6f504ff6352bee7b6f7a34943f7d1944d02d8f9,U-be719e2499b8,U-9f65fd693826,232,54,PENDING,31efebac4cde5bfe9e9bc63b8b61fe564af30af0f26ed8a0ecf3ce8eb54f1adb,,,NOT_RUN,NOT_RUN,
U-9f65fd693826,F00001,问题一的模型建立与求解,1,117,118,2,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,27bc2f98075de1183522db6025dd20899d4fd0a2ab2383887b987a691c08fe78,True,REWRITE,BALANCED,U-9f65fd693826,6d2cf1b597942d1f3f46ef343085802dccea30aeef8c2468c009f47a0b0614ac,U-576f0874aba8,U-7214640f1f64,0,1,SKIPPED_PROTECTED,832b0ba59c491e467d876a3c15b2a8f37b951d1bf94c10432408dd45c8009ef1,,,NOT_RUN,NOT_RUN,
U-7214640f1f64,F00001,问题一的模型建立与求解 / 模型建立,1,119,182,64,RESEARCH,scene-default-research,1,DEFAULT,DEFAULT,SCENE_DEFAULT,RESEARCH,27bc2f98075de1183522db6025dd20899d4fd0a2ab2383887b987a691c08fe78,True,REWRITE,BALANCED,U-7214640f1f64,e3ffd222fe1fd418499511f06b290794e6895a8c1acf36999d0c7ac7ab6a54c0,U-9f65fd693826,U-b6c587f2dc92,990,133,PENDING,9af89c33ba30c35b69fb1efa3e92b346c2f09ba77e280a7f7492bf7e3bec8fe8,,,NOT_RUN,NOT_RUN,
