序号	PDF文件	类型	PDF行号	状态	对应说明	原题摘要
1	10第十一章 气体动理论.txt	example	46	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	新教材P330-332(旧：P362~363) 1, 3, 5, 10, 11, 13, 15, 17, 19 (共9题) 注意 作业用A4纸, 不抄题, 有题号 选择&填空题要有解题过程
2	10第十一章 气体动理论.txt	example	234	已写入	见“已知 p,V,T 时怎样先数出分子总数”	例: 理想气体体积为 V ，压强为 p ，温度为 T ,一个 分子 的质量为 m ，k 为玻尔兹曼常量，则该理想气 体的分子数为是多少？ 思路：知道气体体积求总分子数，关键求分子数密度
3	10第十一章 气体动理论.txt	example	392	已写入	见 physics.tex《10第十一章 气体动理论》同题或等值例题	例: 图为同一种气体，处于不同温度状态下的速率分 布曲线，试问: (1)哪一条曲线对应的温度高？(2) 如 果这两条曲线分别对应的是同一温度下氧气和氢气 的分布曲线，问哪条曲线对应的是氧气，哪条对应 的是氢气？
4	10第十一章 气体动理论.txt	example	407	已写入	见“从同温氢气和氧气的分布图怎样反推最概然速率”	例：如图示两条 f (v) ~ v 曲线分别表示氢气和氧气 在同一温度下的麦克斯韦速率分布曲线， 从图上数 据求出氢气和氧气的最概然速率 。 f (v) 解： 2RT
5	10第十一章 气体动理论.txt	example	506	改写并入	已改写为更通用的“区间分子数 + 阈上总能量”积分题	例: 已知分子数N，分子质量m，分布函数f(v) 求: 1) 速率在 vp ~ v 间的分子数； 2) 速率在 vp ~  间所有分子动能之和 。
6	10第十一章 气体动理论.txt	example	529	已写入	见 physics.tex《10第十一章 气体动理论》同题或等值例题	例: 有N个粒子，其速率分布函数为 dN f (v ) f (v) = = C ( v0  v  0 ) Ndv C f (v) = 0 ( v  v0 )
7	10第十一章 气体动理论.txt	example	656	已写入	见 physics.tex《10第十一章 气体动理论》同题或等值例题	例：一瓶氦气和一瓶氮气质量密度相同，分子平均平 动动能相同，而且它们都处于平衡状态，则它们 （A）温度相同、压强相同 （B）温度、压强都不同 （C）温度相同，但氦气的压强大于氮气的压强
8	10第十一章 气体动理论.txt	example	784	已写入	见“容器骤停后温升为什么先看整体平动动能去哪了”	例：储有氧气的容器以速度v = 100m  s −1运动，假设该容器突然 停止，问容器中氧气的温度将会上升多少？
9	10第十一章 气体动理论.txt	example	805	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	新教材P330-332(旧：P362~363) 1, 3, 5, 10, 11, 13, 15, 17, 19 (共9题) 注意 作业用A4纸, 不抄题, 有题号 选择&填空题要有解题过程
10	11第十二章 热力学第一定律.txt	example	13	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	新教材P359~361(旧：P391~393) 1, 4, 9, 11, 12, 17, 19, 20, 22, 23 (共10题) 注意 作业用A4纸, 不抄题, 有题号 选择&填空题要有解题过程
11	11第十二章 热力学第一定律.txt	example	54	改写并入	已并入“平衡态、准静态过程与弛豫时间”与“改变内能的两种途径”	例：气缸内气体从非平衡态到平衡态的过渡时间，即弛豫 时间，约10 -3 秒 实际内燃机气缸内气体经历一次压缩的时间大约是10-2 秒 ➢改变热力学系统内能的两种途径  热传递：通过分子间的相互作用来完成，是系统外、内分
12	11第十二章 热力学第一定律.txt	example	91	改写并入	已并入“多方关系下的准静态体积功”	例：计算汽缸中理想气体从状态（ II（P2，V2）过程中对外所作的功。设气体在膨胀过程中压强 和体积的变化关系满足方程PV n = C，式中C为恒量，n是常数。
13	11第十二章 热力学第一定律.txt	example	152	改写并入	已并入“同一初末态下怎样分清谁与路径有关”	例：如图，系统沿过程曲线abc态变化到c态共吸收热量500 J，沿 过程曲线cda回到a态，向外放热300 J，外界对系统作功200 J， 求系统在abc过程中系统内能增加及对外作功。 Q = U + A
14	11第十二章 热力学第一定律.txt	example	306	已写入	见 physics.tex《11第十二章 热力学第一定律》同题或等值例题	例：一定量的理想气体，由物态a经b到达c（图中 abc为一直线）。求此过程中： p/atm (1) 气体对外做的功； a 3 (2) 气体内能的增量； b
15	11第十二章 热力学第一定律.txt	example	325	已写入	见 physics.tex《11第十二章 热力学第一定律》同题或等值例题	例: 质量为2.810-3 kg，压强为1atm，温度为27℃的氮气。先在 体积不变的情况下使其压强增至3atm，再经等温膨胀使压强降至 1atm，然后又在等压过程中将体积压缩一半。试画出p -V图，并 求氮气在全部过程中的内能变化，所做的功以及吸收的热量。
16	11第十二章 热力学第一定律.txt	example	441	已写入	见 physics.tex《11第十二章 热力学第一定律》同题或等值例题	例：将压强为1.013 105 Pa, 体积为0.1L的氢气，绝热压缩到0.02 L， 求气体所做的功。
17	11第十二章 热力学第一定律.txt	example	469	已写入	见 physics.tex《11第十二章 热力学第一定律》同题或等值例题	例：设有 5 mol 的氢气，最初的压强为1.013105 Pa ， 温度为 20 C，求在下列过程中，把氢气压缩为原体积的 1/10 需作的功: 1) 等温过程，2) 绝热过程 。 p 2T 解: 1) 等温过程 p2 2 V2' m RT m V '
18	11第十二章 热力学第一定律.txt	example	593	已写入	见 physics.tex《11第十二章 热力学第一定律》同题或等值例题	例: 1 mol 氦气经过如图所示的循环过程，其中 p2 = 2 p1 , V4 = 2V1 。求：1→2、2 → 3、3 → 4、4 → 1各过程 中气体吸收的热量和热机的效率 。
19	11第十二章 热力学第一定律.txt	example	726	已写入	见 physics.tex《11第十二章 热力学第一定律》同题或等值例题	例：一定量的理想气体，分别经历a b c、d e f 过程。 这两过程是吸热还是放热？ P P d a
