unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,structural_plan_status,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-58a68ddb4ba3,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告,1,1,12,12,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-58a68ddb4ba3,c3dc6e71b12694a6cedf1b94a7e4497b2b83d89cbf9e4a9a5f82cb7fe79cb958,,U-c766a78538c1,112,5,PENDING,b9847c8054bbcf995bcf99dafcb96fdffb308822b99ae518ca3141d43bbd25f8,,,NOT_RUN,NOT_RUN,
U-c766a78538c1,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 1. 当前结论,1,13,42,30,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-c766a78538c1,a43025ac8b39684d00cadf1a262d340851cee82a5752a40b37cbf1e9b4a39ad3,U-58a68ddb4ba3,U-e41d6e38704c,1098,48,PENDING,b7803141a302ce91fe05f9f1a37b24f9e2d5ae6b632869d2f26e69f45708bbd1,,,NOT_RUN,NOT_RUN,
U-e41d6e38704c,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 2. 职责边界,1,43,44,2,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-e41d6e38704c,004e835d555a8037e4cab287c9d7187d8f3a5b2df29c3ccb5b6ddee3645e20b0,U-c766a78538c1,U-e58a1ed64237,0,1,SKIPPED_PROTECTED,d709f4bf98f49f72919d9662c2f713a9317112889f3ba7d0a9532f34a834d5a9,,,NOT_RUN,NOT_RUN,
U-e58a1ed64237,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 2. 职责边界 / 2.1 它处理什么,1,45,54,10,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-e58a1ed64237,745df9400d0f5f5e26d832a4099e0e57262b529b070e8d18c97e04e28aca92c4,U-e41d6e38704c,U-a4df7471d013,102,1,PENDING,540f7272e75664023ccb840eda6399dc6c896b79a5fb6ddb183d8826c3b0ec5a,,,NOT_RUN,NOT_RUN,
U-a4df7471d013,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 2. 职责边界 / 2.2 它不处理什么,1,55,64,10,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-a4df7471d013,9c02a0f8b2fa4eda5aa559f57acbbb903a5f2c535b951aa0be6e2faebe6d116b,U-e58a1ed64237,U-448455d20ab6,89,3,PENDING,6f304fe15e6c078c174305030e53da4531c158ba4672854e77e0d3119f842e27,,,NOT_RUN,NOT_RUN,
U-448455d20ab6,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 3. 生产架构,1,65,92,28,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-448455d20ab6,2198afd1b278e2e5a2cf488179f1034d5e6ec2471a9959f3a41815ea5ee24867,U-a4df7471d013,U-bf35f99f8a44,51,4,PENDING,cf8224e6e5e5fd94d980f910b13ff16eeb3f324fcb70339df1706056e8a1a6a4,,,NOT_RUN,NOT_RUN,
U-bf35f99f8a44,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 4. 文件与规模,1,93,124,32,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-bf35f99f8a44,386c4d5fd831c258c4c05e18c72bb909cab618593141b4deaf1b724d47b4c58d,U-448455d20ab6,U-942cf068f2cf,420,31,PENDING,4051f2ccbab7027b738a610c8d8312454c18322bba59181a32fc055096c88811,,,NOT_RUN,NOT_RUN,
U-942cf068f2cf,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 5. 集中词库,1,125,126,2,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-942cf068f2cf,b62974136b7d17601078b0e0d3341deec3ac7a770a6a9a01f5d0bc55f103a068,U-bf35f99f8a44,U-873f6a4051fe,0,1,SKIPPED_PROTECTED,1fd5a42a77da0068b7f7004e08719f8f65ee49c00042e0d361ee9bb5981ea294,,,NOT_RUN,NOT_RUN,
U-873f6a4051fe,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 5. 集中词库 / 5.1 数据结构,1,127,150,24,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-873f6a4051fe,59a69876c2ba3815d6694d48c473118d6573f32b01eb8c796a09ed782052259c,U-942cf068f2cf,U-43fdbab04ebd,50,4,PENDING,de3fdb201aa3f95c159ec64b41c1d1f01e3eba6030fda9fe2a9692bd596ccf00,,,NOT_RUN,NOT_RUN,
U-43fdbab04ebd,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 5. 集中词库 / 5.2 最重要的可落地抓手,1,151,165,15,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-43fdbab04ebd,a48c223c63c36c2564189ed644772410d53b33429f6b13c2337d6b220ddd4e2f,U-873f6a4051fe,U-0c0246cb2ca0,405,11,PENDING,68fcef7af227530dfe96f7fa88702d79bc18a725030b8b55c5c4fccf61f8e75f,,,NOT_RUN,NOT_RUN,
U-0c0246cb2ca0,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 5. 集中词库 / 5.3 不是禁词表,1,166,178,13,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-0c0246cb2ca0,b9cfe324b96f0e18211c4da127b9febdaefcce5c55fa0cf2e2e0bf93dde34f24,U-43fdbab04ebd,U-b1bcbf6b1cc5,106,8,PENDING,59016fffa3d1add7c04cedb9af43eb9bdc96dde7d54f2d107b80721db02d4a35,,,NOT_RUN,NOT_RUN,
U-b1bcbf6b1cc5,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 6. 人工阅读如何改进扫描器,1,179,198,20,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-b1bcbf6b1cc5,695098216d6e9553538d8d2ad74f3f45bf78fb7ded43975ddebf20a7bb01cfa8,U-0c0246cb2ca0,U-ae8ce6347718,157,13,PENDING,fcc6e8bf00948251730372e9c1e53693334fd2d7bcb17c6babbc6a9c6aa0ddd5,,,NOT_RUN,NOT_RUN,
U-ae8ce6347718,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 7. 保护与语义不变量,1,199,200,2,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-ae8ce6347718,73b5b89f43a4b6cfb6f7569e8e187d0cf48258e1d5cedcf1aaef5d52b7ab2519,U-b1bcbf6b1cc5,U-c1442071588a,0,1,SKIPPED_PROTECTED,2b6190faab086b881a4a817f47371fc2e00ac57f1bed1cb6e2fcf40a61ffd05b,,,NOT_RUN,NOT_RUN,
U-c1442071588a,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 7. 保护与语义不变量 / 7.1 硬保护,1,201,213,13,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-c1442071588a,fe41f60d660e9c7871d2335cd81a254985d7cb17bd6e79ad87ba2252d000dad2,U-ae8ce6347718,U-7b8232e01a0b,65,3,PENDING,92b0c228a69de785db0f6d26abb2d23c89d01bd638f7f4321b1bfc941253a4f3,,,NOT_RUN,NOT_RUN,
U-7b8232e01a0b,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 7. 保护与语义不变量 / 7.2 言语行为,1,214,226,13,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-7b8232e01a0b,3a5855a2beef4a02dc8fd1b203f61758992017702f7b6c5d8d38aeea3e07b34f,U-c1442071588a,U-cbf6cea87783,42,10,PENDING,a13c91138c4f75ede067d00c290d7b9201201028174d13a6f75893eb101bd746,,,NOT_RUN,NOT_RUN,
U-cbf6cea87783,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 7. 保护与语义不变量 / 7.3 本地处理建议不能充当人工放行,1,227,243,17,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-cbf6cea87783,a2cdc56dc21bc4753794362f3548fa931b0502001148632cf051e2f0203984ab,U-7b8232e01a0b,U-d022c2bad93a,120,7,PENDING,e3e12c3ef4dd14abcd7acc98425402b5fa0100abe062f3d9d4ffdcf80fe8477a,,,NOT_RUN,NOT_RUN,
U-d022c2bad93a,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 8. 模式、权限和作者声线,1,244,245,2,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-d022c2bad93a,9cb4cbcd1be4000c01b7ac89f60d095479361354aa4ae8a50ce6c5fee3318807,U-cbf6cea87783,U-127f390d82fa,0,1,SKIPPED_PROTECTED,ae95f0a3ec700f85b4fc4a26548705d4260ea2a0523cfe4c547234c1a957afad,,,NOT_RUN,NOT_RUN,
U-127f390d82fa,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 8. 模式、权限和作者声线 / 8.1 三模式,1,246,253,8,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-127f390d82fa,a89f38bcbb5bdce37e7407c5b0fe894d72f3ee1c702fbb2b2de8ff88834fd466,U-d022c2bad93a,U-5b6916378ddc,43,5,PENDING,673c3b1942fd57bd6cac0261d3372584b3e0d0008ba3937ec6031f04caf299dc,,,NOT_RUN,NOT_RUN,
U-5b6916378ddc,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 8. 模式、权限和作者声线 / 8.2 三强度,1,254,261,8,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-5b6916378ddc,446d0b9f24aa11c081bceec478350213e57d33884f1181b31bf2c11c8579d1ef,U-127f390d82fa,U-eb6c8bdcf04d,59,4,PENDING,a07210b7cadcf37badf052c7b2695a812d532e350e19b50698c4a28fddbf8a8b,,,NOT_RUN,NOT_RUN,
U-eb6c8bdcf04d,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 8. 模式、权限和作者声线 / 8.3 Voice Profile,1,262,274,13,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-eb6c8bdcf04d,f5a79ffa3eb90cafe4d0514c9cb16582eb908b38653a630f6a48ec25cf11cd50,U-5b6916378ddc,U-5cb75b683337,89,3,PENDING,c938f00fb9206b76bee048207ade04f6be6cdee7de4e5811a794844698e00c4c,,,NOT_RUN,NOT_RUN,
U-5cb75b683337,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 9. 统一验证器,1,275,305,31,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-5cb75b683337,3868efa5250ee3e93894b778c26b61258bcfd1a733c8b3c53a588c8baf0d2e47,U-eb6c8bdcf04d,U-21bcb8fdbcaf,98,8,PENDING,28b420c3fd762f2a78972b559428ce78bf4f4ad5cd0057dddbf0124d9101df28,,,NOT_RUN,NOT_RUN,
U-21bcb8fdbcaf,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 10. 长文生产链,1,306,307,2,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-21bcb8fdbcaf,aae4aef381a636e9fc0f84677b676cd7159888ccd5bc59e56a8642e78d5772ef,U-5cb75b683337,U-3546b97e0cd1,0,1,SKIPPED_PROTECTED,c46ecc92efe253299cb4ed91e40adbf0ddb0969ad3e49c7532ca4de87255bbeb,,,NOT_RUN,NOT_RUN,
U-3546b97e0cd1,F00001,中文学术纯文风 Humanize Skill：生产化交付与红队报告 / 10. 长文生产链 / 10.1 准备,1,308,333,26,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-3546b97e0cd1,ea9cbed8105c28cf830d2ca02ecb525687b6fa41853d5baf91e2c0fefd148e83,U-21bcb8fdbcaf,U-ff16e45c691f,59,8,PENDING,833b34b65566edc15094facf7a983051c69671f1f35954824548e0e35b56dccf,,,NOT_RUN,NOT_RUN,
