key,question,section,option_A,option_B,option_C,option_D,answer,answer_source,answer_confidence,transcript_parse_file,transcript_unit,transcript_snippet,explanation_source,explanation_snippet,status,notes
2022.06.set1,1,A,He is a staff writer,He is an adventurer,He is an author of fiction,He is a father of four kids,A,2022.06英语六级考试解析第1套.page-02.columns.txt,high,2022.06英语六级考试解析第1套.pdf,Conversation Questions 1-4,"Questions 1 to 4 are based on the conversation you have just heard. W: (1) Mr. David Jackson, a staff writer at the New Yorker, is known for his non-fiction books of adventure. Today, we go on a different kind of adventure: Jackson's life of parenting his offspring. David, as a parent of an 11- and a 14-year-old, what is the most interesting issue you are dealing with right now? M: It's easy to focus on the challenges, but so far, I find these ages to be kind of wonderful. (2) They are ind",2022.06英语六级考试解析第1套.page-02.columns.txt,"1. What do we learn about David Jackson from the conversation? A）【精析】细节辩认题。句(1)中,女士在介绍男士的 时候明确指出，男士是一位职业撰稿人。因此答案 为 A)。",closed,
2022.06.set1,2,A,They are interested in fairy tales,They are curious and autonomous,They are a headache to their parents,They are ignorant of politics,B,2022.06英语六级考试解析第1套.page-02.columns.txt,high,2022.06英语六级考试解析第1套.pdf,Conversation Questions 1-4,"fspring. David, as a parent of an 11- and a 14-year-old, what is the most interesting issue you are dealing with right now? M: It's easy to focus on the challenges, but so far, I find these ages to be kind of wonderful. (2) They are independent, and they have their own curiosities and obsessions. You can talk to them about fairly sophisticated subject matter such as politics. W: Yes, that does sound refreshing compared with talking to younger children. Do they ask you to proofread their essays? M: Certainly, with writing they do. (3) I really just try to be encouraging. I think at this age, editorial guidance is less important than enc",2022.06英语六级考试解析第1套.pdf,"2. What does the man think of young teenagers? B）【精析】细节辨认题。女士提到男士有两个孩子， 一个11岁，一个14岁，并问男士现在正在应对的 最有趣的问题是什么。男士回答说，他发现他们的 这个年龄段非常棒。根据句(2)可知，男士认为这 个年龄段的孩子们很独立，有他们自已感到好奇和 迷恋的事物。因此答案为B)。 Questions 5 to 8 are based on the conversation you have just heard. entrepreneur. Molly, tell us about your business. disasters. 六级2022年6月24",closed,
2022.06.set1,3,A,He offers them ample editorial guidance,He recommends model essays to them,He gives them encouragement,He teaches them proofreading,C,2022.06英语六级考试解析第1套.page-02.columns.txt,high,2022.06英语六级考试解析第1套.pdf,Conversation Questions 1-4,"em about fairly sophisticated subject matter such as politics. W: Yes, that does sound refreshing compared with talking to younger children. Do they ask you to proofread their essays? M: Certainly, with writing they do. (3) I really just try to be encouraging. I think at this age, editorial guidance is less important than encouragement. W: Are there books that you think are important that your children read, and that all children read? M: My general thought is to read widely and to incorporate a love for reading. Learning to love to read, I think, is the optimal thing, because it gives you a skill you can take anywhere. W: So you're no",2022.06英语六级考试解析第1套.page-02.columns.txt,3. How does the man help his kids with their essays? C）【精析】细节辨认题。当女士问男士孩子们是否请 他校对文章时，男士给出了肯定回答，并在句（3)中 提到，他只是进行鼓励。男士认为，对于这个年龄 段的孩子们来说，编辑方面的指导不如鼓励重要。 因此答案为 C)。,closed,
2022.06.set1,4,A,Her tastes in books changed,She realized the power of reading,Her reading opened her eyes to the world,She began to perceive the world differently,A,2022.06英语六级考试解析第1套.page-02.columns.txt,high,2022.06英语六级考试解析第1套.pdf,Conversation Questions 1-4,"t they're reading? I know I have some worries about that. M: Yeah, read what you like. If a child loves graphic novels or comic books, whatever it is, that is turning them on to read and turning on their imagination. W: (4)I feel that children's tastes in books change as they reach adolescence. I know that mine certainly did when I was a teenager. What do you think? M: I think it's especially important as they get older to read subject matter that'll open their eyes to the world and people. So I think both fiction and non-fiction are really important because they give you the power to begin to perceive the world through the lives of ot",2022.06英语六级考试解析第1套.pdf,"4. What does the woman say about herself when she was a teenager? A）【精析】细节辨认题。句（4）中，女士说，她认为孩 子们到了青春期，对书的品位就会改变，并提到她 十几岁的时候确实是这样的。也就是说，她十几岁 时对书的品位有所变化。因此答案为A)。 M: (5)In this episode of Money Talks, our guest is Molly Sanders, a university student and a successful young W: Well, I sell specialty clothes through a website, mainly for women who have trouble finding suitable clothes in main street shop",closed,
2022.06.set1,5,A,She is a website designer,She is a university graduate,She is a main street store owner,She is a successful entrepreneur,D,2022.06英语六级考试解析第1套.page-03.columns.txt,high,2022.06英语六级考试解析第1套.pdf,Conversation Questions 5-8,"Questions 5 to 8 are based on the conversation you have just heard. M: (5)In this episode of Money Talks, our guest is Molly Sanders, a university student and a successful young entrepreneur. Molly, tell us about your business. W: Well, I sell specialty clothes through a website, mainly for women who have trouble finding suitable clothes in main street shops because of their height or weight. But I do some men's clothes too. M: How did you get started in this business at such a young age?",2022.06英语六级考试解析第1套.pdf,5. What do we learn about the woman? D)【精析】细节辨认题。句(5)中，男士介绍女士时就 明确指出，女士是一名在校大学生，也是一位成功 的年轻企业家。因此答案为D)。,closed,
2022.06.set1,6,A,They were repeatedly rejected by shops,They were popular with her classmates,They showed her natural talent,They were mostly failures,D,2022.06英语六级考试解析第1套.page-03.columns.txt,high,2022.06英语六级考试解析第1套.pdf,Conversation Questions 5-8,"Actually, I'm majoring in finance, but I've always loved clothes. And I started making my own at 14. M: Did you have any sort of training in design or sewing? Or was it a natural ability? W: I'd have to say no to both. (6)No one taught me to make clothes and most of the things I made at first were disasters. 六级2022年6月24 M: Why did you persevere? I think most people would give up if they kept failing, especially. at that age. W: I kept on out of necessity. .(7) As you can see, I'm very tall and I couldn't find clothes that fit me in ordinary shops. So I kept trying and developed my skills over time. M: Well, my notes say you earned $",2022.06英语六级考试解析第1套.pdf,"6. What does the woman say about the clothes she made at first? D）【精析】细节辨认题。当男士问女士她是受过专业 的服装设计或缝纫方面的培训，还是天生就有制作 服装的才能时,女士给出了否定回答,并且在句（6) 中说，没有人教她做衣服，她刚开始做的衣服大多 数都是灾难。也就是说，女士刚开始做的衣服大多 都是失败的。因此答案D）。",closed,
2022.06.set1,7,A,She had a strong interest in doing it,She did not like ready-made clothes,She could not find clothes of her size,She found clothes in shops unaffordable,C,full_closure_audit,high,2022.06英语六级考试解析第1套.pdf,Conversation Questions 5-8,"ake clothes and most of the things I made at first were disasters. 六级2022年6月24 M: Why did you persevere? I think most people would give up if they kept failing, especially. at that age. W: I kept on out of necessity. .(7) As you can see, I'm very tall and I couldn't find clothes that fit me in ordinary shops. So I kept trying and developed my skills over time. M: Well, my notes say you earned $ 50,000 in profits last year, an extraordinary amount for a 20-year-old W: No. When I started university, some classmates complimented my clothes. And when I said I made them myself, other tall women started asking if I would make theirs. And I",2022.06英语六级考试解析第1套.pdf,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.,closed,
2022.06.set1,8,A,Study fashion design at college,Improve her marketing strategy,Add designs for women,Expand her business,D,full_closure_audit,high,2022.06英语六级考试解析第1套.pdf,Conversation Questions 5-8,"asking if I would make theirs. And I did. And before I knew it, I was an entrepreneur. M: So what are your plans for the future? Do you intend to open a physical store? W: No. I'll keep things online to keep costs down. (8) But I will add more clothes for children, both girls and boys, and possibly even for infants. And I hope to add to my range of designs for men.",2022.06英语六级考试解析第1套.pdf,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.,closed,
2022.06.set1,9,B,Utilizing artificial intelligence to find a powerful new antibiotic,Discovering bacteria which are resistant to all known antibiotics,Identifying bacterial strains that are most harmful to human health,Removing a deadly strain of bacteria in humans with a new antibiotic,A,full_closure_audit,high,2022.06英语六级考试解析第1套.pdf,Passage Questions 9-11,"e. The antibiotic can kill very dangerous bacteria. According to a study published in the journal Cell , the compound successfully removed deadly strains of bacteria in mice which are resistant to all known antibiotics. (9)The researchers say this is the first time that artificial intelligence has been used to find a powerful new antibiotic molecule. Why does this matter? The answer is antibiotic resistance. This happens when bacteria develop the ability to survive the medications designed to kill them. .(10) Antibiotic resistance is a serious threat to health and the problem is growing. This makes finding new antibiotics very importan",full_closure_audit,manual_audit: OCR page says AI was first used to find a powerful new antibiotic molecule; option A matches.,closed,
2022.06.set1,10,B,Ever-increasing strains of bacteria,Bacteria's resistance to antibiotics,The similarity between known drugs,The growing threat of bacteria to health,B,full_closure_audit,high,2022.06英语六级考试解析第1套.pdf,Passage Questions 9-11,"ence has been used to find a powerful new antibiotic molecule. Why does this matter? The answer is antibiotic resistance. This happens when bacteria develop the ability to survive the medications designed to kill them. .(10) Antibiotic resistance is a serious threat to health and the problem is growing. This makes finding new antibiotics very important. However, in recent decades, very few have been developed, and those that have tend to be very similar to drugs already available. The searches also tend to only focus on a narrow spectrum of chemical compounds, but this is. where artificial intelligence comes in. Why? To find new drugs,",2022.06英语六级考试解析第1套.pdf,full_closure_audit: verified by full closure pass; see listening_full_closure_audit.csv for transcript/explanation snippets.,closed,
