key,parse_file,question,section,answer,evidence
2022.06.set1,2022.06英语六级考试解析第1套.pdf,2,A,C,2. What does the man think of young teenagers? 因此答案为 C)。 B）【精析】细节辨认题。女士提到男士有两个孩子，
2022.06.set1,2022.06英语六级考试解析第1套.pdf,4,A,A,"4. What does the woman say about herself when she 一个11岁，一个14岁，并问男士现在正在应对的 was a teenager? 最有趣的问题是什么。男士回答说，他发现他们的 A）【精析】细节辨认题。句（4）中，女士说，她认为孩 这个年龄段非常棒。根据句(2)可知，男士认为这 子们到了青春期，对书的品位就会改变，并提到她 个年龄段的孩子们很独立，有他们自已感到好奇和 十几岁的时候确实是这样的。也就是说，她十几岁 迷恋的事物。因此答案为B)。 时对书的品位有所变化。因此答案为A)。 Questions 5 to 8 are based on the conversation you have just heard. M: (5)In this episode of Money Talks, our guest is Molly Sanders, a university student and a successful young entrepreneur. Molly, tell us about your business. W: W"
2022.06.set1,2022.06英语六级考试解析第1套.pdf,5,A,D,"5. What do we learn about the woman? C）【精析】细节辨认题。男士问女士，既然经常失败， D)【精析】细节辨认题。句(5)中，男士介绍女士时就 为什么还要坚持制作服装。女士回答说，自已之所 明确指出，女士是一名在校大学生，也是一位成功 以能坚持下去，是因为她有这方面的需要。根据句 (7)可知,女士非常高，因此，在普通商店里找不到 的年轻企业家。因此答案为D)。"
2022.06.set1,2022.06英语六级考试解析第1套.pdf,6,A,C,6. What does the woman say about the clothes she 合适的衣服。也就是说，她找不到适合自已尺码的 made at first? 衣服。因此答案为C)。 D）【精析】细节辨认题。当男士问女士她是受过专业
2022.06.set1,2022.06英语六级考试解析第1套.pdf,8,A,D,"8. What does the woman plan to do in the future? 的服装设计或缝纫方面的培训，还是天生就有制作 D）【精析】细节推断题。男士问女士将来有什么打 服装的才能时,女士给出了否定回答,并且在句（6) 算，是否会开一家实体店。女士对男士说，她会继 中说，没有人教她做衣服，她刚开始做的衣服大多 续在网上经营以降低成本，根据句（8)可知，女士会 数都是灾难。也就是说，女士刚开始做的衣服大多 增加更多童装，包括男童装、女童装，甚至可能会做 都是失败的。因此答案D）。 一些婴儿服装。她还希望增加男士服装设计的系"
2022.06.set1,2022.06英语六级考试解析第1套.pdf,7,A,A,"7. Why did the woman persevere in making clothes 列。由此可知，女士在将来会扩展自已的业务。因 此答案为D)。 for herself? Section B Questions 9 to 11. are based on the passage you have just heard. Researchers have identified a potent new antibiotic compound using artificial intelligence. The antibiotic can kill very dangerous bacteria. According to a study published in the journal Cell , the compound successfully removed deadly strains of bacteria in mice which are resistant to all known antibiotics. (9)The researchers say"
2022.06.set1,2022.06英语六级考试解析第1套.pdf,10,B,B,10. What makes it important to find new antibiotic A）【精析】细节辨认题。句（9)中提到，研究人员说， drugs? 这是人工智能首次被用来寻找一种强大的新型抗 B) 【精析】细节辨认题。当讨论到为什么寻找新型抗 六级2022年6月 25 B）【精析】细节辩认题。在介绍人工智能在寻找新型 生素十分重要时，短文提到了耐药性这一概念。 根据句(10)可知，抗生素耐药性是对健康的严重 抗生素过程中的作用时，短文首先说通过人工智 威胁，而且这个问题正在日益增多。这就使得寻 能的使用，可以快速地对大量化合物进行筛选，从 找新型抗生素变得非常重要。因此答案为B）。 中确定那些让人感兴趣的化合物来进行实验测 1l. What does the passage say artificial intelligence 试。根据句（11)可知，人工智能还可以预测化合 is able to do in antibiotic research? 物是否可能有毒。因此答案为B)。 Questions 12 to 15 are based on the pa
2022.06.set1,2022.06英语六级考试解析第1套.pdf,14,B,A,14. What have many studies uncovered about the detect lying? average person's lie detection? C）【精析】细节归纳题。句（12-1)中提到，我们大多 A）【精析】细节推断题。句(14)中提到，如果对像你 数人都有关于如何判断某人是否在说谎的理论。 和我这样的普通人进行严格的辨别谎言的测试， 我们可能会通过观察那些我们熟悉并经常看到的 我们做得不比凑巧得出的结果好多少。许多为找 人来逐渐形成这一理论，但我们倾向于对那些由 出可靠的谎言检测方法所做的研究和为此进行了 不怎么科学的日常研究中所收集到的东西进行概 大量尝试的研究人员都可以充分证实这一结果。 括，使之成为一个普遍的理论。句（12-2）中又提 也就是说，普通人对于谎言的辨别也不过是凑巧 到，不管具体的理论是什么，它通常是以对我们认 而已。因此答案为A）。 识的人的密切观察为基础的。也就是说，大多数
2022.06.set1,2022.06英语六级考试解析第1套.pdf,15,B,C,15. What advice does the new research offer 人是通过观察来辨别谎言的。因此答案为C)。 regarding lie detection?
2022.06.set1,2022.06英语六级考试解析第1套.pdf,13,B,B,"13. What does the passage say about most lies? B)[ 【精析】细节辨认题。短文临近结尾处，明确指出 D）【精析】细节辨认题。句(13)中提到，平均来说，我 有一项新研究提供了一些关于辨别谎言的建议。 们每天要面对200次左右的谎言。这些谎言大多 根据句（15）可知，该建议就是：不要使用视觉，而 是无害的，但它们终归是谎言。因此答案为D)。 应该使用听觉。因此答案为B)。 Section C: Questions 16 to 18 are based on the recording you have just heard. Appear to be submissive, humble, grateful and undemanding; show great pleasure when a doctor comes into your room, even if the visit is brief and useless. Don't challenge anyone with authority unless you are fam"
