rule,key,question,section,prediction,answer,hit,options
choose_unique_example,2022.06.set1,2,A,C,B,False,A: They are interested in fairy tales | B: They are curious and autonomous | C: They are a headache to their parents | D: They are ignorant of politics
choose_longest,2022.06.set1,4,A,C,A,False,A: Her tastes in books changed | B: She realized the power of reading | C: Her reading opened her eyes to the world | D: She began to perceive the world differently
choose_shortest,2022.06.set1,4,A,A,A,True,A: Her tastes in books changed | B: She realized the power of reading | C: Her reading opened her eyes to the world | D: She began to perceive the world differently
choose_longest,2022.06.set1,5,A,C,D,False,A: She is a website designer | B: She is a university graduate | C: She is a main street store owner | D: She is a successful entrepreneur
choose_shortest,2022.06.set1,6,A,D,D,True,A: They were repeatedly rejected by shops | B: They were popular with her classmates | C: They showed her natural talent | D: They were mostly failures
choose_unique_moderate,2022.06.set1,6,A,D,D,True,A: They were repeatedly rejected by shops | B: They were popular with her classmates | C: They showed her natural talent | D: They were mostly failures
choose_longest,2022.06.set1,7,A,C,C,True,A: She had a strong interest in doing it | B: She did not like ready-made clothes | C: She could not find clothes of her size | D: She found clothes in shops unaffordable
choose_unique_moderate,2022.06.set1,7,A,C,C,True,A: She had a strong interest in doing it | B: She did not like ready-made clothes | C: She could not find clothes of her size | D: She found clothes in shops unaffordable
choose_longest,2022.06.set1,8,A,A,D,False,A: Study fashion design at college | B: Improve her marketing strategy | C: Add designs for women | D: Expand her business
choose_shortest,2022.06.set1,8,A,D,D,True,A: Study fashion design at college | B: Improve her marketing strategy | C: Add designs for women | D: Expand her business
choose_shortest,2022.06.set1,9,B,A,A,True,A: Utilizing artificial intelligence to find a powerful new antibiotic | B: Discovering bacteria which are resistant to all known antibiotics | C: Identifying bacterial strains that are most harmful to human health | D: Removing a deadly strain of bacteria in humans with a new antibiotic
choose_unique_absolute,2022.06.set1,9,B,B,A,False,A: Utilizing artificial intelligence to find a powerful new antibiotic | B: Discovering bacteria which are resistant to all known antibiotics | C: Identifying bacterial strains that are most harmful to human health | D: Removing a deadly strain of bacteria in humans with a new antibiotic
choose_unique_extreme_bad,2022.06.set1,9,B,B,A,False,A: Utilizing artificial intelligence to find a powerful new antibiotic | B: Discovering bacteria which are resistant to all known antibiotics | C: Identifying bacterial strains that are most harmful to human health | D: Removing a deadly strain of bacteria in humans with a new antibiotic
choose_longest,2022.06.set1,10,B,D,B,False,A: Ever-increasing strains of bacteria | B: Bacteria's resistance to antibiotics | C: The similarity between known drugs | D: The growing threat of bacteria to health
choose_shortest,2022.06.set1,11,B,A,B,False,A: Dispense with experimental testing | B: Predict whether compounds are toxic | C: Foresee human reaction to antibiotics | D: Combat bacteria's resistance to antibiotics
choose_unique_moderate,2022.06.set1,14,B,A,A,True,A: Mostly by chance | B: Basically objective | C: Subject to their mental alertness | D: Dependent on their analytical ability
choose_unique_example,2022.06.set1,16,C,B,A,False,A: They don't treat patients with due respect | B: They witness a lot of doctor-patient conflicts | C: They have to deal with social workers9 strikes | D: They don't care how much patients have to pay
choose_unique_absolute,2022.06.set1,17,C,D,D,True,A: Appear submissive and grateful to doctors and nurses | B: Express a strong desire to be consulted or informed | C: Refrain from saying anything that sounds negative | D: Note down the names of all the doctors and nurses
choose_unique_negation,2022.06.set1,17,C,C,D,False,A: Appear submissive and grateful to doctors and nurses | B: Express a strong desire to be consulted or informed | C: Refrain from saying anything that sounds negative | D: Note down the names of all the doctors and nurses
choose_unique_extreme_bad,2022.06.set1,17,C,D,D,True,A: Appear submissive and grateful to doctors and nurses | B: Express a strong desire to be consulted or informed | C: Refrain from saying anything that sounds negative | D: Note down the names of all the doctors and nurses
opposition_choose_positive,2022.06.set1,18,C,A,C,False,A: Cooperative | B: Appreciative | C: Passive | D: Responsive
opposition_choose_negative,2022.06.set1,18,C,C,C,True,A: Cooperative | B: Appreciative | C: Passive | D: Responsive
choose_unique_comparison,2022.06.set1,19,C,D,C,False,A: Its members work together despite risks of failure | B: It prioritizes recruiting young energetic members | C: Its members stay in touch even after it breaks up | D: It grows more and more mature professionally
