file,question_number,statement,answer_letter,answer_paragraph,paragraph_position_pct,paragraph_index,paragraph_count,paragraph_text_preview,method
2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,36,"Some children on the remote islands won't eat their meals because they are fed cheap
junk food.",E,E,40.91,5,11,"""I diagnose them through conversation,says Dr. Mustahid. '""Sometimes it's really
obvious things that local doctors don't have the patience t",heuristic
2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,37,"Unlike other parts of Bangladesh, the number of women who die from giving birth
remains high on the river islands.",A,A,4.55,1,11,"Fazila is a young woman that has been dealing with eczema (S ^), a common skin
condition, for the past five years, but never got it treated.",heuristic
2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,38,"One big problem many islanders have is that they can't afford the prescribed medicines,
even with discounts offered.",J,J,86.36,10,11,"TD still has a few major challenges. Many residents complain the medicines they are
prescribed are sometimes unaffordable, but the governmen",heuristic
2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,39,"TD is a virtual medical service financially supported by one of the nation's nonprofit
organizations.",C,C,22.73,3,11,"On the islands, there9s even a colloquial (口 头的)expression for the idea of making
medical care your lowest priority: It's known as ""rog push",heuristic
2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,40,"TD doctors are welcome to the islanders because they treat the sick with respect and
patience.",E,E,40.91,5,11,"""I diagnose them through conversation,says Dr. Mustahid. '""Sometimes it's really
obvious things that local doctors don't have the patience t",heuristic
2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,41,"Women islanders tend to have health problems early partly because they get married
and give birth early.",F,F,50.0,6,11,"Even off the islands, Bangladesh faces a critical deficit of health services. The country
has half the doctors-per-person ratio recommended ",heuristic
2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,42,"TD doctors make weekly visits to the remote islands to provide services at a temporary
medical center.",I,I,77.27,9,11,"Other nonprofits are also starting to provide health services on the islands. A local
non-governmental organization called Friendship operat",heuristic
2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,43,"TD doctors provide the islanders with online diagnoses and treatments for common
diseases.",G,G,59.09,7,11,"For most TD patients on the islands, Dr. Mustahid is the first big-city doctor that
they've ever consulted. TD doctors are not meant to trea",heuristic
2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,44,"The residents of the river islands have to keep moving their homes because of floods
and land erosions.",F,F,50.0,6,11,"Even off the islands, Bangladesh faces a critical deficit of health services. The country
has half the doctors-per-person ratio recommended ",heuristic
2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,45,"Women islanders usually rely on their husbands to get some medicines for them without
diagnoses and prescriptions.",H,H,68.18,8,11,"After a few sessions about general health issues Fazila finally opened up about
something else that was bothering her: her persistent skin c",heuristic
2022.06六级真题第2套【可复制可搜索，打印首选】.pdf,36,Climate change has wrought havoc on the lives of tens of thousands of people.,F,F,50.0,6,11,"Social and environmental activists, scientists and indigenous groups have called the
Paris Agreement of the United Nations Climate Change Co",heuristic
2022.06六级真题第2套【可复制可搜索，打印首选】.pdf,37,"It took scientists a long time to realise that the function of forests goes far beyond
providing humans with timber.",B,B,13.64,2,11,"Economic interests were at the core of this understanding of trees and forests. It would
take more than three centuries before scientists be",heuristic
2022.06六级真题第2套【可复制可搜索，打印首选】.pdf,38,There is abundant evidence that we are now facing a possible ecological disaster.,H,H,68.18,8,11,"Scientific evidence that we are living in an era of climate change, resource exhaustion
and potential ecological disaster is overwhelming. H",heuristic
2022.06六级真题第2套【可复制可搜索，打印首选】.pdf,39,Environmental science became academic disciplines only some sixty years ago.,D,D,31.82,4,11,"Awareness of ecologies is a recent phenomenon. It was not until the 1940s that the
concept of the ""environment"" embracing all living and non",heuristic
2022.06六级真题第2套【可复制可搜索，打印首选】.pdf,40,"Things cannot change overnight, but reducing the consumption of natural resources will
help solve the ecological crisis.",K,K,95.45,11,11,"Today9s saving powers will not come from a deus ex machina (解围之 4中).In an
ever-more complex and synthetic world, our saving powers won't com",heuristic
2022.06六级真题第2套【可复制可搜索，打印首选】.pdf,41,Human perception of forests has undergone a tremendous change in the past years.,C,C,22.73,3,11,"Recent years have seen a big change in our view of forests. Peter Wohlleben's book The
Hidden Life of Trees (2015), an international bestsel",heuristic
2022.06六级真题第2套【可复制可搜索，打印首选】.pdf,42,"Recent history shows reduction of pollution, once seemingly impossible, can actually
be accomplished.",G,G,59.09,7,11,"The current crisis is not the first that humans have encountered, and a look at the
struggles with pollution in recent history reveals trans",heuristic
